country_code,n_sites,n_pairs,survived,hard_only,floor_only,both,n_sites_with_survivor
TR,146,146,15,14,91,26,15
PL,63,63,4,8,31,20,4
CZ,29,29,0,0,0,29,0
RO,24,24,4,3,14,3,4
UA,20,20,0,0,2,18,0
BG,15,15,0,1,7,7,0
BA,11,11,0,0,0,11,0
HU,11,11,0,0,0,11,0
AT,8,8,0,0,6,2,0
RS,8,8,2,1,3,2,2
SK,6,6,0,0,0,6,0
ME,4,4,0,0,1,3,0
MK,4,4,0,0,4,0,0
XK,4,4,0,2,0,2,0
SI,3,3,0,0,0,3,0
BY,2,2,1,0,1,0,1
HR,2,2,0,0,0,2,0
AL,1,1,0,0,0,1,0
LV,1,1,0,0,1,0,0
MD,1,1,0,0,0,1,0
