country_code,site_id,smr_key,bucket,hard_criteria,floor_criteria,n_hard,n_floor,n_distinct_failures
CZ,44d40276-5847-41d1-ab9b-887bbdc1bcfe,nuscale_voygr6,both,EP-01|NH-05,NH-05,2,1,2
CZ,4eb7914c-e000-403c-b5a5-c350de67bb83,nuscale_voygr6,both,NH-05,NH-04|NH-05,1,2,2
CZ,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,60baaa73-dd8c-4865-bb18-6c73d63a4052,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,66c3f077-1ee6-41d7-8e6c-da374bb45139,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
CZ,97ed917e-acfa-4002-be89-4ec44972ab45,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
CZ,9c4291f1-173b-467e-ae26-8cb01312c605,nuscale_voygr6,both,NH-05,NH-05,1,1,1
CZ,a6bf9980-016e-47ea-b40a-82e384a9eb43,nuscale_voygr6,both,EP-01|NH-05,NH-04|NH-05,2,2,3
CZ,a733fc13-11a4-4722-b62d-85c85a4f8ef3,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,aa38441d-aec7-4ae9-b4c3-68c5bf567db3,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,b0ba194f-3c80-4725-b1e7-fa5277b38833,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,cbd67443-4a4e-44fd-a9ed-20ba9574c99e,nuscale_voygr6,both,NH-05,EP-01|NH-04|NH-05,1,3,3
CZ,d762ceeb-514f-43a6-9f91-a2d422ed6c60,nuscale_voygr6,both,NH-05,NH-05,1,1,1
CZ,e299922a-1670-4aff-acda-fd80600af9af,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
CZ,f1d2bca1-a7a9-4404-84c1-34fc8a59dab7,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
CZ,f3523341-daaa-4573-a856-becb2e1bb9e3,nuscale_voygr6,both,NH-05,EP-01|NH-05,1,2,2
