site_id,site_name,country_code,smr_key,criterion_id,code,action,metric,value,threshold,margin,margin_norm,severity
0ca0b969-c519-48f3-97ab-7173d3aa6085,Gönen power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.85,8.0,-6.15,-0.76875,critical
28baef4d-44e3-4b2e-bbe3-75f736371553,Enyat Samsun power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,4.22,8.0,-3.7800000000000002,-0.47250000000000003,severe
47c1271c-e2b2-42f5-99ee-f616bbef5b7e,Ilgın power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.88,8.0,-7.12,-0.89,critical
4ca3c560-6d90-4bcf-b131-4e39b6b4f0de,Soma power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,4.11,8.0,-3.8899999999999997,-0.48624999999999996,severe
59f96677-d42b-4ae1-a3e9-32f3dc396a83,Dinar power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.02,8.0,-6.98,-0.8725,critical
61b7e396-5c25-4591-9da1-eb54475f1805,Zorlu Soma power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,2.17,8.0,-5.83,-0.72875,critical
7defe42d-669b-489f-aff5-d1b83436607d,Kınık power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,4.06,8.0,-3.9400000000000004,-0.49250000000000005,severe
80179871-04fa-4806-9385-caf739b8a171,Habaş power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,2.98,8.0,-5.02,-0.6275,critical
80b922cb-9e78-49aa-9d28-1dc84b1affef,Orhaneli power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,1.46,8.0,-6.54,-0.8175,critical
86996d34-c6e5-4097-ac28-ad2e5467f783,Petkim power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,2.67,8.0,-5.33,-0.66625,critical
8e7f6abf-e420-4f40-b9da-9ea76ccedfb1,Kemerköy power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,0.41,8.0,-7.59,-0.94875,critical
992a4bf0-3ff0-4f12-bb89-50dc9e8d7d35,Aksa Akrilik power station,TR,nuscale_voygr6,NH-02,E1,exclude,nearest_fault_km,3.95,8.0,-4.05,-0.50625,critical
