country_code,smr_key,rank,site_id,site_name,composite_score,composite_score_low,composite_score_high,qualification_mode,family_scores_json
BG,nuscale_voygr6,7,704ef487-f600-4f23-b06e-a0f81b627597,Ruse Iztok power station,5.878,5.326,6.419,normal,"{""categories"": {""EP"": 5.26, ""HI"": 5.93, ""NH"": 7.09, ""NS"": 6.93, ""RI"": 2.93}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
BG,nuscale_voygr6,8,33a015dd-51e0-497e-b0d3-4b1b3f070438,Republika power station,5.875,5.323,6.325,normal,"{""categories"": {""EP"": 5.26, ""HI"": 5.11, ""NH"": 7.67, ""NS"": 6.41, ""RI"": 3.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
??,nuscale_voygr6,1,fac3d0b5-36a5-48ae-8494-f2f08e4342f4,Zelwa power station,7.378,6.538,7.944,normal,"{""categories"": {""EP"": 6.68, ""HI"": 7.41, ""NH"": 7.31, ""NS"": 7.1, ""RI"": 8.21}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
??,nuscale_voygr6,2,68aabff9-e662-4b9f-b37d-4c2ebc5f7539,Lelchitsy power station,6.991,6.225,7.487,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.61, ""NH"": 7.76, ""NS"": 6.36, ""RI"": 7.64}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
CZ,nuscale_voygr6,1,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,Tusimice power station,7.095,6.144,7.691,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.21, ""NH"": 7.27, ""NS"": 8.61, ""RI"": 6.71}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
CZ,nuscale_voygr6,2,b0ba194f-3c80-4725-b1e7-fa5277b38833,Prunerov power station,7.016,6.083,7.559,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.21, ""NH"": 7.27, ""NS"": 8.17, ""RI"": 6.71}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
CZ,nuscale_voygr6,3,d762ceeb-514f-43a6-9f91-a2d422ed6c60,Chvaletice power station,7.009,6.24,7.594,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.47, ""NH"": 6.69, ""NS"": 8.36, ""RI"": 6.71}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
CZ,nuscale_voygr6,4,32484f7b-18a4-4b21-8e6a-6d68ae099d02,Pocerady power station,6.931,6.018,7.526,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.47, ""NH"": 7.13, ""NS"": 8.76, ""RI"": 6.0}, ""notes"": [""high_unscored_fraction""], ""unscored_fraction"": 0.2323}"
CZ,nuscale_voygr6,5,2fe0a0b3-4108-427e-8e54-f77e1ea7227c,Ledvice power station,6.916,6.164,7.512,normal,"{""categories"": {""EP"": 5.97, ""HI"": 6.21, ""NH"": 7.44, ""NS"": 7.27, ""RI"": 7.07}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
CZ,nuscale_voygr6,6,f3523341-daaa-4573-a856-becb2e1bb9e3,Melnik power station,6.916,6.164,7.531,normal,"{""categories"": {""EP"": 6.68, ""HI"": 6.21, ""NH"": 7.44, ""NS"": 7.79, ""RI"": 6.0}, ""notes"": [""unscored_penalty_applied""], ""unscored_fraction"": 0.1919}"
