site_id,site_name,country_code,smr_key,criterion_id,code,metric,value,threshold,gap,gap_norm,would_pass_at_threshold,composite_if_passed
28c80d72-dd9e-4fbf-a2c7-d48d49ca61dc,Demirtaş power station,TR,nuscale_voygr6,EP-01,E8,ep01_composite_score,29.8,30,-0.1999999999999993,-0.006666666666666643,29.8,
33d83e11-cfcd-47cb-be5e-82ca0fc352cc,Zeltweg power station,AT,nuscale_voygr6,NH-04,E3,slope_angle_deg,26.02,25,1.0199999999999996,0.04079999999999998,26.02,
