national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
64,Hande power station,True,False,6.328,5.619,6.769,H,0.0,76.47,low,600.0,36.780693,35.735779
65,Çalışkan Ceyhan power station,True,False,6.322,5.594,6.781,H,0.0,76.47,low,1320.0,36.93815,35.99446
66,Biga power station,True,False,6.306,5.538,6.77,H,0.0,73.53,low,1540.0,40.47233,27.28625
67,Muğla power station,True,False,6.299,5.533,6.763,H,0.0,73.53,low,300.0,37.15,27.805
68,Saltukova power station,True,False,6.299,5.533,6.816,H,0.0,73.53,low,350.0,41.519,32.094
69,Ergene power station,True,False,6.291,5.631,6.731,H,0.0,76.47,low,170.0,41.2408,27.6967
70,Çebi Enerji power station,True,False,6.278,5.619,6.769,H,0.0,76.47,low,700.0,41.013446,27.961648
71,Güreci power station,True,False,6.278,5.55,6.7,H,0.0,76.47,low,1320.0,40.343889,26.683611
72,İsken Sugözü power station,True,False,6.278,5.569,6.719,H,0.0,76.47,low,1210.0,36.83502,35.879104
73,Ada Yesildag Enerji power station,True,False,6.266,5.606,6.756,H,0.0,76.47,low,1200.0,36.3761,33.9322
74,Ağan power station,True,False,6.253,5.497,6.77,H,0.0,73.53,low,1580.0,40.449823,27.304356
75,Mert power station,True,False,6.253,5.525,6.675,H,0.0,76.47,low,1200.0,36.953333,36.203333
76,Sanko Yumurtalık power station,True,False,6.234,5.506,6.694,H,0.0,76.47,low,1600.0,36.876,35.894
77,Suluova power station,True,False,6.234,5.537,6.675,H,0.0,76.47,low,270.0,40.859186,35.651886
78,Amasra Bartın power station,True,False,6.216,5.537,6.687,H,0.0,76.47,low,1200.0,41.72704,32.34971
79,Ayas power station,True,False,6.216,5.506,6.656,H,0.0,76.47,low,625.5,36.82211,35.86753
80,HEMA Amasra power station,True,False,6.216,5.537,6.687,H,0.0,76.47,low,1320.0,41.723,32.349
81,Kilikya power station,True,False,6.216,5.506,6.656,H,0.0,76.47,low,660.0,36.82786,35.87151
82,Kandilli power station,True,False,6.209,5.512,6.7,H,0.0,76.47,low,150.0,41.33935,31.51114
83,Naren Karabiga power station,True,False,6.201,5.457,6.717,H,0.0,73.53,low,1960.0,40.458066,27.254994
84,Saray Tekirdağ power station,True,False,6.166,5.506,6.656,H,0.0,76.47,low,300.0,41.445,27.921
85,Kireçlik power station,True,False,6.153,5.425,6.575,H,0.0,76.47,low,1200.0,41.368944,31.587836
86,Çelikler Yumurtalık power station,True,False,6.148,5.417,6.612,H,0.0,73.53,low,1320.0,36.86788,35.90949
87,Hakan Kömür power station,True,False,6.134,5.406,6.594,H,0.0,76.47,low,100.0,37.0333,35.8167
88,Çan-2 power station,True,False,6.122,5.444,6.631,H,0.0,76.47,low,330.0,40.034352,26.950574
89,İÇDAŞ Biga power station,True,False,6.122,5.396,6.586,H,0.0,73.53,low,405.0,40.4438,27.13067
90,Albayrak Varaka Paper power station,True,False,6.084,5.437,6.575,H,0.0,76.47,low,40.0,39.559474,27.969536
91,Namal power station,True,False,6.082,5.366,6.526,H,0.0,73.53,low,1000.0,40.343889,26.683611
92,Ant Enerji power station,True,False,6.062,5.349,6.546,H,0.0,73.53,low,160.0,37.366667,28.033333
93,Hakan Enerji power station,True,False,6.053,5.344,6.494,H,0.0,76.47,low,100.0,36.84343,35.886929
94,Yumurtalık IC İçtaş power station,True,False,6.028,5.319,6.469,H,0.0,76.47,low,1200.0,36.77,35.79
95,Lüminer Enerji power station,True,False,6.016,5.259,6.503,H,0.0,76.47,low,160.0,40.892,26.901
96,Meda power station,True,False,6.016,5.356,6.506,H,0.0,76.47,low,770.0,40.972709,27.876831
97,ZETES power stations,True,False,5.971,5.286,6.442,H,0.0,73.53,low,3450.0,41.507471,31.894912
98,Adana Akdeniz power station,True,False,5.966,5.256,6.406,H,0.0,76.47,low,600.0,36.8178,35.86216
99,Çerkezköy power station,True,True,5.928,5.319,6.469,H,0.0,76.47,low,990.0,41.283333,28.0
100,Şırnak Silopi (CİNER) power station,True,False,5.859,5.194,6.355,H,0.0,73.53,low,405.0,37.310025,42.594696
101,Şevketiye Lapseki power station,True,False,5.845,5.132,6.289,H,0.0,73.53,low,1320.0,40.395,26.792
102,Çatalağzı power station,True,False,5.841,5.156,6.312,H,0.0,73.53,low,974.0,41.517402,31.900198
103,Yeniyurt power station,True,False,5.834,5.087,6.275,H,0.0,76.47,low,300.0,36.886,36.151
104,Güney Akdeniz power station,True,False,5.812,5.169,6.312,H,0.0,76.47,low,1320.0,36.416667,35.883333
105,Atakaş power station,True,False,5.791,5.131,6.281,H,0.0,76.47,low,660.0,36.6971,36.2042
106,Selena power station,True,False,5.756,5.062,6.181,H,0.0,76.47,low,900.0,36.921472,36.04753
107,Burnaz power station,True,False,5.747,5.119,6.256,H,0.0,76.47,low,300.0,36.491859,36.192092
108,Tosyalı İskenderun power station,True,False,5.741,5.131,6.281,H,0.0,76.47,low,1200.0,36.6971,36.2042
109,Avdan power station,True,False,5.706,5.012,6.131,H,0.0,76.47,low,300.0,37.750237,29.094284
110,Kardemir Karabük Demir Çelik power station,True,False,5.594,4.909,6.065,H,0.0,73.53,low,77.5,41.514274,31.909608
111,Zonguldak Modern power station,True,False,5.594,4.909,6.065,H,0.0,73.53,low,320.0,41.498,31.868
112,Eti Maden Bandirma power station,True,False,5.591,4.931,6.131,H,0.0,76.47,low,46.7,40.328921,27.990415
113,DETES 1 power station,True,False,5.464,4.831,5.987,H,0.0,73.53,low,160.0,41.498,31.868
114,DOSAB cogeneration plant,True,False,5.444,4.8,5.919,H,0.0,76.47,low,50.0,40.243172,28.96442
115,Atlas Enerji İskenderun power station,True,False,5.394,4.8,5.919,H,0.0,76.47,low,1200.0,36.69028,36.20909
116,İskenderun power station,True,False,5.369,4.775,5.894,H,0.0,76.47,low,2000.0,36.587,36.173
117,Evrese power station,True,False,5.237,4.556,5.612,H,0.0,76.47,low,135.0,40.416667,26.666667
118,Bandırma Karat power station,True,False,5.2,4.528,5.656,H,0.0,76.47,low,1200.0,40.357,27.975
119,Gebze Çolakoğlu power station,True,False,5.087,4.512,5.544,H,0.0,76.47,low,190.0,40.77758,29.538564
,Aksa Akrilik power station,False,False,,,,,,0.0,low,100.0,40.691129,29.405596
,Aliağa Enka power station,False,False,,,,,,0.0,low,800.0,38.746,26.912
,Bandırma Elektrik power station,False,False,,,,,,0.0,low,1600.0,40.30593,27.7272
,Çan (18 Mart) power station,False,False,,,,,,0.0,low,320.0,40.02324,26.976837
,Çırpılar power station,False,False,,,,,,0.0,low,200.0,39.816777,27.339752
,Demirtaş power station,False,False,,,,,,0.0,low,119.0,36.780693,35.735779
,Deniz power station,False,False,,,,,,0.0,low,1320.0,38.746,26.912
,Dinar power station,False,False,,,,,,0.0,low,500.0,38.064,30.167
,Enyat Samsun power station,False,False,,,,,,0.0,low,150.0,40.97,35.67
,Gönen power station,False,False,,,,,,0.0,low,300.0,40.1,27.65
,Güneybatı Anadolu power station,False,False,,,,,,0.0,low,660.0,37.31,27.78
,Habaş power station,False,False,,,,,,0.0,low,600.0,38.77273,26.94599
,Helvacı power station,False,False,,,,,,0.0,low,270.0,40.08,27.168
,Ilgın power station,False,False,,,,,,0.0,low,500.0,38.26,31.91
,İzdemir Enerji power station,False,False,,,,,,0.0,low,720.0,38.74173,26.92917
,Kemerköy power station,False,False,,,,,,0.0,low,630.0,37.035362,27.900592
,Kipas MMP power station,False,False,,,,,,0.0,low,55.0,37.767197,27.445695
,Kınık power station,False,False,,,,,,0.0,low,700.0,39.084,27.45
,Orhaneli power station,False,False,,,,,,0.0,low,210.0,39.950224,28.870214
,Petkim power station,False,False,,,,,,0.0,low,205.0,38.795,26.970278
,Sanko Gölbaşı power station,False,False,,,,,,0.0,low,150.0,37.819719,37.718512
,Silopi (Şırnak) power station,False,False,,,,,,0.0,low,135.0,37.352619,42.552728
,Soma power station,False,False,,,,,,0.0,low,990.0,39.194462,27.635204
,Star Refinery Socar power station,False,False,,,,,,0.0,low,672.0,38.817,26.9103
,Tekirdağ Malkara power station,False,False,,,,,,0.0,low,1000.0,40.638726,27.004295
,Yatağan power station,False,False,,,,,,0.0,low,630.0,37.330905,28.102377
,Zorlu Soma power station,False,False,,,,,,0.0,low,1220.0,39.186,27.608
