national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Bitola power station,True,False,6.812,5.927,7.329,A,1.0,73.53,low,699.0,41.05832,21.484266
2,Negotino power station,True,False,6.707,5.846,7.171,H,0.0,73.53,low,300.0,41.483333,22.1
3,Oslomej power station,True,False,6.181,5.442,6.697,H,0.0,73.53,low,254.5,41.582133,21.000288
,Mariovo power station,False,False,,,,,,0.0,low,300.0,41.122815,21.805115
