site_id,name,country_code,latitude,longitude,smr_key,criterion_id,baseline_score,baseline_quality_flag,baseline_confidence,candidate_score,candidate_quality_flag,candidate_band,baseline_justification,fields_json
85257083-08d1-4560-b198-a9df414da4a9,Gacko Thermal Power Plant,BA,43.172137,18.511555,nuscale_voygr6,EP-03,,,,1.5,scored,No measured relief; major river barrier (interim).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:07.594574+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": true, ""relief_m_per_10km"": null, ""waterway_count_epz"": 17}"
e2d645e3-c829-4aac-8f6f-d6a5507fd5fa,Glinica power station,BA,43.333,17.8,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:07.718496+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
e671be33-8b91-40bd-b563-b833293654aa,Kakanj Thermal Power Plant,BA,44.089633,18.113865,nuscale_voygr6,EP-03,,,,1.5,scored,No measured relief; major river barrier (interim).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:07.958385+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": true, ""relief_m_per_10km"": null, ""waterway_count_epz"": 83}"
344e0e9a-558e-4749-bb66-cd746be50cbd,Kamengrad Thermal Power Plant,BA,44.766667,16.666667,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.124965+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
0155b913-765f-4d44-89f5-c176b6867cef,Kongora Thermal Power Plant,BA,43.64611,17.33139,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.220929+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,Miljevina power station,BA,43.518304,18.652091,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.362573+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
e75c63e5-ef2f-4e08-8f8c-3da41215af9d,Stanari Thermal Power Plant,BA,44.753861,17.792444,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.504791+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
0fb50bcc-5616-40d8-9109-8136a958f18d,Tuzla Thermal Power Plant,BA,44.52104,18.606443,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.610643+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
a23d073a-cbbd-469a-b134-380945fd3f4c,Ugljevik power station,BA,44.683446,18.968516,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.723234+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
b01fe781-dbc7-40f8-a544-946288020042,Bobov Dol power station,BG,42.285818,23.03283,nuscale_voygr6,EP-03,,,,9.5,scored,No measured relief; open river/waterway context (interim screening).,,"{""emergency_fetched_at"": ""2026-05-12T21:49:08.872943+03:00"", ""emergency_run_id"": ""20260512T184829_1d1e6d41"", ""ep03_gee_relief_16km_m"": null, ""ep03_quality"": ""medium"", ""major_river_barrier"": false, ""relief_m_per_10km"": null, ""waterway_count_epz"": 0}"
