country_code,smr_key,site_id,iterations,p_rank_1,p_rank_le_3,p_rank_le_5,median_rank,p05_rank,p95_rank,rank_iqr,eligible_pair_count,small_n
AT,nuscale_voygr6,2dcd2c6d-f375-4408-9492-7910662fac03,50000,0.0029,0.9989,1.0,2.0,2.0,2.0,0.0,6,False
AT,nuscale_voygr6,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,50000,0.0,0.8555,1.0,3.0,3.0,4.0,0.0,6,False
AT,nuscale_voygr6,660d9d71-6733-4294-951b-1c58614d58cf,50000,0.9971,1.0,1.0,1.0,1.0,1.0,0.0,6,False
AT,nuscale_voygr6,6e7fc4d8-636d-411a-baef-e138a5a07acc,50000,0.0,0.1333,0.9989,4.0,3.0,5.0,0.0,6,False
AT,nuscale_voygr6,90820fe3-9889-4faf-9906-7c528f8d7bc5,50000,0.0,0.0,0.0164,6.0,6.0,6.0,0.0,6,False
AT,nuscale_voygr6,99d712ac-7993-4186-8a0e-2e88bae7e90f,50000,0.0,0.0122,0.9847,5.0,4.0,5.0,0.0,6,False
BA,nuscale_voygr6,344e0e9a-558e-4749-bb66-cd746be50cbd,50000,0.0,0.1199,1.0,4.0,3.0,5.0,0.0,6,False
BA,nuscale_voygr6,82011c29-a3d3-4a81-a27b-019d2649a251,50000,0.0,0.0,0.0,6.0,6.0,6.0,0.0,6,False
BA,nuscale_voygr6,85257083-08d1-4560-b198-a9df414da4a9,50000,0.9965,1.0,1.0,1.0,1.0,1.0,0.0,6,False
BA,nuscale_voygr6,a23d073a-cbbd-469a-b134-380945fd3f4c,50000,0.0,0.0028,1.0,5.0,4.0,5.0,0.0,6,False
BA,nuscale_voygr6,aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,50000,0.0033,0.9851,1.0,2.0,2.0,3.0,0.0,6,False
BA,nuscale_voygr6,e75c63e5-ef2f-4e08-8f8c-3da41215af9d,50000,0.0001,0.8922,1.0,3.0,2.0,4.0,0.0,6,False
BG,nuscale_voygr6,2fb27566-cc7b-4530-8ff9-e55e3a1985bd,50000,0.0,0.0,0.1944,6.0,5.0,6.0,0.0,8,False
BG,nuscale_voygr6,30c9e377-b575-46fa-880f-922c46e6500a,50000,0.0,0.9746,1.0,3.0,3.0,3.0,0.0,8,False
BG,nuscale_voygr6,33a015dd-51e0-497e-b0d3-4b1b3f070438,50000,0.0,0.0,0.0,8.0,7.0,8.0,0.0,8,False
BG,nuscale_voygr6,3bb6666f-de2f-4c6f-a28e-c3bddb71b54a,50000,0.0,0.0011,0.8239,5.0,4.0,6.0,0.0,8,False
BG,nuscale_voygr6,704ef487-f600-4f23-b06e-a0f81b627597,50000,0.0,0.0,0.0,7.0,7.0,8.0,0.0,8,False
BG,nuscale_voygr6,a064c7ae-e699-4a94-a18c-79bdfe42bce3,50000,0.0003,1.0,1.0,2.0,2.0,2.0,0.0,8,False
BG,nuscale_voygr6,b01fe781-dbc7-40f8-a544-946288020042,50000,0.0,0.0242,0.9818,4.0,4.0,5.0,0.0,8,False
BG,nuscale_voygr6,ec5f337a-ca52-4b86-a0f4-4933eac349e3,50000,0.9997,1.0,1.0,1.0,1.0,1.0,0.0,8,False
BY,nuscale_voygr6,68aabff9-e662-4b9f-b37d-4c2ebc5f7539,50000,0.0003,1.0,1.0,2.0,2.0,2.0,0.0,2,True
BY,nuscale_voygr6,fac3d0b5-36a5-48ae-8494-f2f08e4342f4,50000,0.9997,1.0,1.0,1.0,1.0,1.0,0.0,2,True
CZ,nuscale_voygr6,05daa6b2-bb29-4c26-a459-855626673955,50000,0.0,0.0,0.0,11.0,9.0,13.0,2.0,29,False
CZ,nuscale_voygr6,0ae8917b-a70b-41e5-82de-e4963a7686e3,50000,0.0,0.0,0.0,20.0,18.0,22.0,2.0,29,False
CZ,nuscale_voygr6,14e88076-ce0e-4693-bca4-e80f3f013c7f,50000,0.0,0.0,0.0,15.0,14.0,17.0,1.0,29,False
CZ,nuscale_voygr6,180880c2-7284-4723-b02a-a62348b9b40b,50000,0.0,0.0,0.0,9.0,8.0,11.0,1.0,29,False
CZ,nuscale_voygr6,1c059a42-608c-4753-8fcf-ba797d94f900,50000,0.0,0.0,0.0,22.0,19.0,23.0,2.0,29,False
CZ,nuscale_voygr6,20bce4f5-ca0b-4145-87e5-0a0694343f31,50000,0.0,0.0,0.0,21.0,18.0,23.0,2.0,29,False
CZ,nuscale_voygr6,20c9d02d-e9e8-40b3-a11e-7a2e01018d8c,50000,0.0,0.0,0.0,14.0,13.0,16.0,1.0,29,False
CZ,nuscale_voygr6,274ec928-e527-44cf-86c5-b6eddc09d0f7,50000,0.0,0.0,0.0,19.0,16.0,22.0,2.0,29,False
CZ,nuscale_voygr6,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,50000,0.0811,0.6686,0.9401,3.0,1.0,6.0,2.0,29,False
CZ,nuscale_voygr6,2fe0a0b3-4108-427e-8e54-f77e1ea7227c,50000,0.0036,0.1093,0.5225,5.0,3.0,7.0,2.0,29,False
CZ,nuscale_voygr6,32484f7b-18a4-4b21-8e6a-6d68ae099d02,50000,0.0059,0.1556,0.6152,5.0,3.0,7.0,2.0,29,False
CZ,nuscale_voygr6,43e5b2b4-2ccf-46ab-b01e-e3d480146455,50000,0.0,0.0,0.0,29.0,27.0,29.0,1.0,29,False
CZ,nuscale_voygr6,44d40276-5847-41d1-ab9b-887bbdc1bcfe,50000,0.0,0.0,0.0,26.0,24.0,28.0,2.0,29,False
CZ,nuscale_voygr6,4eb7914c-e000-403c-b5a5-c350de67bb83,50000,0.0,0.0,0.0,24.0,23.0,27.0,1.0,29,False
CZ,nuscale_voygr6,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,50000,0.0,0.0,0.0,13.0,11.0,14.0,1.0,29,False
CZ,nuscale_voygr6,60baaa73-dd8c-4865-bb18-6c73d63a4052,50000,0.0,0.0,0.0,8.0,8.0,9.0,0.0,29,False
CZ,nuscale_voygr6,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,50000,0.0,0.0,0.0,12.0,10.0,13.0,1.0,29,False
CZ,nuscale_voygr6,66c3f077-1ee6-41d7-8e6c-da374bb45139,50000,0.0,0.0,0.0,28.0,26.0,29.0,2.0,29,False
CZ,nuscale_voygr6,97ed917e-acfa-4002-be89-4ec44972ab45,50000,0.0,0.0,0.0,16.0,15.0,18.0,1.0,29,False
CZ,nuscale_voygr6,9c4291f1-173b-467e-ae26-8cb01312c605,50000,0.0,0.0,0.0,10.0,8.0,11.0,1.0,29,False
CZ,nuscale_voygr6,a6bf9980-016e-47ea-b40a-82e384a9eb43,50000,0.0,0.0,0.0,23.0,21.0,24.0,1.0,29,False
CZ,nuscale_voygr6,a733fc13-11a4-4722-b62d-85c85a4f8ef3,50000,0.0,0.0,0.0,16.0,15.0,18.0,1.0,29,False
CZ,nuscale_voygr6,aa38441d-aec7-4ae9-b4c3-68c5bf567db3,50000,0.0,0.0,0.0,19.0,17.0,21.0,2.0,29,False
CZ,nuscale_voygr6,b0ba194f-3c80-4725-b1e7-fa5277b38833,50000,0.0029,0.099,0.5094,5.0,3.0,7.0,2.0,29,False
CZ,nuscale_voygr6,cbd67443-4a4e-44fd-a9ed-20ba9574c99e,50000,0.0,0.0,0.0,25.0,24.0,27.0,2.0,29,False
CZ,nuscale_voygr6,d762ceeb-514f-43a6-9f91-a2d422ed6c60,50000,0.4732,0.95,0.9966,2.0,1.0,3.0,1.0,29,False
CZ,nuscale_voygr6,e299922a-1670-4aff-acda-fd80600af9af,50000,0.0025,0.0801,0.4213,6.0,3.0,7.0,2.0,29,False
CZ,nuscale_voygr6,f1d2bca1-a7a9-4404-84c1-34fc8a59dab7,50000,0.0,0.0,0.0,27.0,24.0,29.0,2.0,29,False
CZ,nuscale_voygr6,f3523341-daaa-4573-a856-becb2e1bb9e3,50000,0.4309,0.9372,0.9948,2.0,1.0,4.0,1.0,29,False
HR,nuscale_voygr6,ab151830-e5bd-46de-8400-01aa4c165366,50000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,True
HU,nuscale_voygr6,059b3ad4-7196-4e6b-b169-8605ceeed841,50000,0.0,0.2811,1.0,4.0,3.0,4.0,1.0,11,False
HU,nuscale_voygr6,28b36531-865d-42ae-afb3-b8bad86f7014,50000,0.0,0.0,0.0,6.0,6.0,7.0,0.0,11,False
HU,nuscale_voygr6,34d88ce8-d49c-4b19-af2d-6efcb1b72149,50000,0.0,0.0,0.0,10.0,9.0,11.0,2.0,11,False
HU,nuscale_voygr6,5de5f907-98e7-42d3-a7dd-cb65f839697b,50000,0.0,0.719,1.0,3.0,3.0,4.0,1.0,11,False
HU,nuscale_voygr6,651839d3-4e8f-4214-89aa-1f96ea221121,50000,0.0,0.0,0.0,7.0,6.0,7.0,0.0,11,False
HU,nuscale_voygr6,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,50000,0.0,0.0,1.0,5.0,5.0,5.0,0.0,11,False
HU,nuscale_voygr6,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,50000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11,False
HU,nuscale_voygr6,e1649639-2e45-4226-9c7a-783d2dcb6724,50000,0.0,0.0,0.0,10.0,9.0,11.0,1.0,11,False
HU,nuscale_voygr6,ef325d90-6d2d-4f8f-89f2-3bc98beb149b,50000,0.0,0.0,0.0,8.0,8.0,8.0,0.0,11,False
HU,nuscale_voygr6,f2b3a729-602a-4b6b-acc9-004244f2e556,50000,0.0,0.0,0.0,10.0,9.0,11.0,1.0,11,False
HU,nuscale_voygr6,f7dcdb63-26e6-44cd-b440-ec14fe507d90,50000,0.0,0.9998,1.0,2.0,2.0,2.0,0.0,11,False
LV,nuscale_voygr6,1a5b8f8f-f4be-4514-8738-755d25e19b41,50000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,True
MD,nuscale_voygr6,b3eb5dd2-98cf-40c4-b9ee-2a86fd066093,50000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,True
ME,nuscale_voygr6,3795824b-cb76-48dd-a65c-764c757ddc76,50000,0.0,1.0,1.0,2.0,2.0,2.0,0.0,2,True
ME,nuscale_voygr6,e77a7e7f-11ba-4e61-98da-f44471bc52ab,50000,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,True
