criterion_id,criterion_name,hard_pairs,floor_pairs,intersection_pairs,union_pairs
EP-01,Emergency-plan feasibility (composite),456,1680,0,2136
NH-04,Geotechnical - slope stability,24,1288,0,1312
NH-05,Subsidence / karst / mining / oil & gas,800,824,792,832
NH-02,Seismic surface rupture (capable faults),400,304,0,704
NS-08,Ecological sensitivity (Natura 2000 / WDPA),0,32,0,32
NH-03,Geotechnical - settlement and liquefaction,0,8,0,8
