criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
HI-03,HI-04,0.0876,0.1336,0.1336,2904,False
HI-02,RI-04,-0.0636,-0.1335,0.1335,2904,False
HI-04,RI-04,-0.0636,-0.1335,0.1335,2904,False
EP-02,HI-03,0.0473,0.1332,0.1332,2904,False
HI-03,NH-01,0.0792,0.1324,0.1324,2904,False
HI-03,NS-03,0.096,0.1318,0.1318,2904,False
HI-01,NS-03,-0.1307,-0.1282,0.1307,2904,False
HI-04,NH-06,-0.0792,-0.1306,0.1306,2904,False
HI-02,NH-06,-0.0792,-0.1306,0.1306,2904,False
NH-12,RI-06,0.1285,0.1154,0.1285,2904,False
BF-02,NH-04,0.1261,0.1282,0.1282,2904,False
BF-02,NS-02,0.126,0.1191,0.126,2904,False
NH-04,NS-05,0.1188,0.1259,0.1259,2904,False
BF-01,NS-08,-0.0652,-0.1253,0.1253,2904,False
HI-06,RI-02,-0.1151,-0.124,0.124,2904,False
NH-02,NS-01,0.0157,0.1215,0.1215,2904,False
NS-02,NS-04,-0.1198,-0.1086,0.1198,2904,False
NH-06,NS-05,0.1141,0.1034,0.1141,2904,False
HI-01,RI-02,-0.0843,-0.1133,0.1133,2904,False
HI-06,RI-06,0.0724,0.1116,0.1116,2904,False
NS-02,NS-05,0.1103,0.1113,0.1113,2904,False
NH-02,NS-03,0.0568,0.1106,0.1106,2904,False
HI-04,NH-01,0.1058,0.1105,0.1105,2904,False
HI-02,NH-01,0.1058,0.1105,0.1105,2904,False
HI-02,HI-06,-0.0639,-0.1099,0.1099,2904,False
HI-04,HI-06,-0.0639,-0.1099,0.1099,2904,False
HI-01,HI-02,0.0824,0.1075,0.1075,2904,False
HI-01,HI-04,0.0824,0.1075,0.1075,2904,False
NH-12,NS-03,0.1068,0.1072,0.1072,2904,False
BF-02,NH-06,0.1069,0.1006,0.1069,2904,False
RI-02,RI-06,0.1063,0.0587,0.1063,2904,False
NS-05,RI-06,0.0746,0.1056,0.1056,2904,False
BF-01,EP-02,-0.1023,-0.1054,0.1054,2904,False
NH-03,NS-04,0.1033,0.0982,0.1033,2904,False
BF-01,HI-06,0.0952,0.1007,0.1007,2904,False
HI-01,NS-01,-0.0995,-0.0942,0.0995,2904,False
BF-02,RI-06,0.0618,0.0988,0.0988,2904,False
HI-03,NS-08,-0.0287,0.0977,0.0977,2904,False
NH-01,NS-02,0.0967,0.0427,0.0967,2904,False
NH-05,RI-04,0.0965,0.0628,0.0965,2904,False
HI-02,NS-04,0.0712,0.0938,0.0938,2904,False
HI-04,NS-04,0.0712,0.0938,0.0938,2904,False
BF-02,NH-02,-0.0937,-0.0733,0.0937,2904,False
BF-02,NS-04,-0.0932,-0.0905,0.0932,2904,False
RI-02,RI-04,-0.0928,-0.0822,0.0928,2904,False
HI-03,NH-02,0.0569,0.0901,0.0901,2904,False
NH-02,NH-03,0.089,0.019,0.089,2904,False
HI-02,NS-03,0.0274,0.0884,0.0884,2904,False
HI-04,NS-03,0.0274,0.0884,0.0884,2904,False
BF-02,RI-04,0.0883,0.0729,0.0883,2904,False
BF-01,NH-04,0.0869,0.0747,0.0869,2904,False
HI-06,NH-03,-0.0421,-0.0856,0.0856,2904,False
NH-12,NS-04,0.0854,0.084,0.0854,2904,False
EP-01,NH-05,0.0839,0.0754,0.0839,2904,False
HI-03,NH-05,0.0811,0.0469,0.0811,2904,False
NS-04,NS-05,-0.0792,-0.0809,0.0809,2904,False
NS-05,RI-04,0.0808,0.0663,0.0808,2904,False
NH-03,NH-05,0.0798,0.0469,0.0798,2904,False
BF-02,HI-01,0.0757,0.0786,0.0786,2904,False
NH-05,NS-02,-0.0785,-0.028,0.0785,2904,False
BF-02,NH-01,-0.0778,-0.0732,0.0778,2904,False
NH-04,RI-04,-0.0776,-0.069,0.0776,2904,False
NS-02,NS-03,0.0538,0.0775,0.0775,2904,False
NH-03,RI-02,-0.0467,-0.0759,0.0759,2904,False
HI-02,NH-02,0.0659,0.0747,0.0747,2904,False
HI-04,NH-02,0.0659,0.0747,0.0747,2904,False
HI-01,NS-05,0.0709,0.0745,0.0745,2904,False
NH-12,RI-02,-0.0547,-0.0743,0.0743,2904,False
EP-02,NS-02,0.0448,0.0703,0.0703,2904,False
HI-01,NH-03,-0.0701,-0.0632,0.0701,2904,False
NH-04,NS-08,0.07,0.0477,0.07,2904,False
NH-02,NS-05,-0.0699,-0.0606,0.0699,2904,False
EP-01,NS-02,0.0693,0.0504,0.0693,2904,False
BF-02,EP-02,-0.0576,-0.0681,0.0681,2904,False
NH-06,RI-02,0.0669,0.0172,0.0669,2904,False
HI-06,NH-12,0.0661,0.0669,0.0669,2904,False
NS-03,RI-06,0.0663,0.0451,0.0663,2904,False
NH-01,NH-03,0.0657,0.0306,0.0657,2904,False
EP-01,HI-02,-0.0255,-0.0657,0.0657,2904,False
EP-01,HI-04,-0.0255,-0.0657,0.0657,2904,False
BF-01,HI-02,-0.0466,-0.064,0.064,2904,False
BF-01,HI-04,-0.0466,-0.064,0.064,2904,False
NH-02,NH-12,-0.0533,-0.0639,0.0639,2904,False
EP-02,NS-05,-0.0592,-0.0638,0.0638,2904,False
HI-03,NH-04,-0.0571,-0.0633,0.0633,2904,False
NH-12,NS-01,0.063,0.0633,0.0633,2904,False
NH-05,RI-02,0.0631,0.0113,0.0631,2904,False
