country_code,n_sites,K,scenarios_compared,mean_jaccard_vs_baseline_topk,min_jaccard_vs_baseline_topk,band_a_count,band_b_count,band_c_count
AT,6,6,14,1.0,1.0,1,0,0
BA,6,6,14,1.0,1.0,0,0,1
BG,7,7,14,1.0,1.0,1,0,0
BY,2,2,14,1.0,1.0,1,0,0
CZ,23,10,14,1.0,1.0,1,1,0
HR,1,1,14,1.0,1.0,1,0,0
HU,10,10,14,1.0,1.0,1,0,0
LV,1,1,14,1.0,1.0,1,0,0
MD,1,1,14,1.0,1.0,1,0,0
ME,1,1,14,1.0,1.0,1,0,0
MK,4,4,14,1.0,1.0,1,0,0
PL,41,13,14,0.9592,0.8571,2,2,0
RO,19,10,14,0.987,0.8182,1,0,0
RS,7,7,14,1.0,1.0,0,0,1
SK,5,5,14,1.0,1.0,1,0,0
TR,106,32,14,0.97,0.8824,3,5,2
UA,17,10,14,0.8805,0.5385,1,0,0
