site_id,site_name,country,band,top5pct_hit_rate,top10pct_hit_rate,top30pct_hit_rate,scenarios_total,scenarios_scored
fac3d0b5-36a5-48ae-8494-f2f08e4342f4,Zelwa power station,BY,A,0.9412,0.9412,0.9412,17,16
68aabff9-e662-4b9f-b37d-4c2ebc5f7539,Lelchitsy power station,BY,B,0.1765,0.8824,0.9412,17,17
