country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
TR,nuscale_voygr6,mc_10000,mc_summary,0049a899-af5f-41cd-86ae-2ba729b6365f,93,93,0,5.942,5.434,-0.508,110,False
RS,nuscale_voygr6,mc_10000,mc_summary,0182ec25-0df9-4e4b-9861-d76a332bc282,1,4,3,6.715,5.935,-0.7800000000000002,6,False
UA,nuscale_voygr6,mc_10000,mc_summary,02253fcc-4fc6-42d4-a6a8-42365487302f,13,11,-2,6.148,5.748,-0.39999999999999947,20,False
TR,nuscale_voygr6,mc_10000,mc_summary,0248611c-b745-404f-ad50-c2870882c7a1,18,31,13,6.832,5.944,-0.8879999999999999,110,False
UA,nuscale_voygr6,mc_10000,mc_summary,038d42e9-769b-4b22-9513-dccff48b42cd,15,17,2,5.93,5.508,-0.4219999999999997,20,False
HU,nuscale_voygr6,mc_10000,mc_summary,059b3ad4-7196-4e6b-b169-8605ceeed841,4,4,0,6.601,6.089,-0.5119999999999996,11,False
CZ,nuscale_voygr6,mc_10000,mc_summary,05daa6b2-bb29-4c26-a459-855626673955,13,13,0,6.34,5.926,-0.4139999999999997,29,False
PL,nuscale_voygr6,mc_10000,mc_summary,06641fea-8997-4b69-a618-6afa34b82591,44,46,2,5.912,5.515,-0.39700000000000024,61,False
SK,nuscale_voygr6,mc_10000,mc_summary,06defca3-9105-437f-afd4-52f5603d9b8e,4,4,0,6.272,5.788,-0.484,5,False
TR,nuscale_voygr6,mc_10000,mc_summary,0947a4c8-4fc1-492f-9c66-2c9a993c7fb0,54,54,0,6.445,5.757,-0.6880000000000006,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,0ae8917b-a70b-41e5-82de-e4963a7686e3,16,16,0,6.265,5.739,-0.5259999999999998,29,False
PL,nuscale_voygr6,mc_10000,mc_summary,0b187a1d-55de-47cf-96a3-06abc8ff2476,18,18,0,6.662,6.047,-0.6150000000000002,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,0ca4ff78-4113-4ad9-ac04-0fd541d42338,78,86,8,6.123,5.49,-0.633,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,0fec985c-c66e-40af-a123-a9ba4db269bb,63,61,-2,6.35,5.701,-0.649,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,1289753b-43db-4058-8fe1-6e38b5fb01b5,27,21,-6,6.726,6.01,-0.7160000000000002,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,142cad75-648a-495d-8c10-792351e72126,4,4,0,7.153,6.232,-0.9209999999999994,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,14e88076-ce0e-4693-bca4-e80f3f013c7f,18,17,-1,6.259,5.709,-0.5500000000000007,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,1624a526-07d8-44a4-8ed7-3b035b748f03,105,97,-8,5.653,5.402,-0.25099999999999945,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,166f5fcc-1cc4-4cf5-9e52-59e7ce1557c6,23,11,-12,6.759,6.162,-0.5970000000000004,110,False
SK,nuscale_voygr6,mc_10000,mc_summary,1719d38b-61e8-4b01-844b-3a2f85c8a186,3,3,0,6.503,5.84,-0.6630000000000003,5,False
MK,nuscale_voygr6,mc_10000,mc_summary,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,1,1,0,6.391,5.803,-0.5880000000000001,3,False
TR,nuscale_voygr6,mc_10000,mc_summary,17568f0f-91fd-4efe-b4df-2c7cc5d80b7d,110,110,0,5.073,4.781,-0.2920000000000007,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,180880c2-7284-4723-b02a-a62348b9b40b,9,12,3,6.633,5.956,-0.6769999999999996,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,1820429d-bd95-4e56-a6db-d9bb57e2ae07,96,102,6,5.865,5.355,-0.5099999999999998,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,187b4fd7-6a61-4e94-8ed4-495ac6dfc317,25,27,2,6.419,5.828,-0.5909999999999993,61,False
RO,nuscale_voygr6,mc_10000,mc_summary,18ecb024-ee4f-4045-8254-5e95d61dea8c,15,17,2,5.958,5.563,-0.39500000000000046,21,False
LV,nuscale_voygr6,mc_10000,mc_summary,1a5b8f8f-f4be-4514-8738-755d25e19b41,1,1,0,6.728,6.04,-0.6879999999999997,1,True
CZ,nuscale_voygr6,mc_10000,mc_summary,1c059a42-608c-4753-8fcf-ba797d94f900,24,22,-2,5.68,5.469,-0.2109999999999994,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,1ce7624e-1d72-4293-8ff4-09096b56ddd2,109,109,0,5.401,5.084,-0.31700000000000017,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,1d19dce6-c458-4656-901d-6a8d3c548761,9,6,-3,7.075,6.486,-0.5890000000000004,61,False
RO,nuscale_voygr6,mc_10000,mc_summary,1d8be6d0-f3a5-4b32-9d46-3526289731f8,21,18,-3,5.375,5.322,-0.052999999999999936,21,False
TR,nuscale_voygr6,mc_10000,mc_summary,1f305180-6bbf-4758-9a98-78bc9e96e195,46,57,11,6.528,5.738,-0.7899999999999991,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,202d797d-b0f9-4cd0-bbac-d7bb06805c09,37,34,-3,6.071,5.691,-0.3799999999999999,61,False
CZ,nuscale_voygr6,mc_10000,mc_summary,20bce4f5-ca0b-4145-87e5-0a0694343f31,17,19,2,6.263,5.638,-0.625,29,False
CZ,nuscale_voygr6,mc_10000,mc_summary,20c9d02d-e9e8-40b3-a11e-7a2e01018d8c,14,15,1,6.34,5.761,-0.5789999999999997,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,21ccc44f-3244-4e7f-9654-eae424288200,76,80,4,6.13,5.51,-0.6200000000000001,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,231565d3-4f56-43ee-a357-1f4451c6fbc3,37,56,19,6.588,5.739,-0.8490000000000002,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,2350bab4-9869-43f1-b62f-a4d5aea77ef5,77,79,2,6.13,5.519,-0.6109999999999998,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,239ea0eb-a9c4-43cc-ac5f-35271bdc6613,7,13,6,7.102,6.247,-0.8550000000000004,61,False
CZ,nuscale_voygr6,mc_10000,mc_summary,274ec928-e527-44cf-86c5-b6eddc09d0f7,20,21,1,5.918,5.526,-0.39200000000000035,29,False
PL,nuscale_voygr6,mc_10000,mc_summary,27fc89b3-ee57-44ac-8073-a700bc8d12e8,41,41,0,6.003,5.585,-0.41800000000000015,61,False
CZ,nuscale_voygr6,mc_10000,mc_summary,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,1,3,2,7.075,6.396,-0.6790000000000003,29,False
HU,nuscale_voygr6,mc_10000,mc_summary,28b36531-865d-42ae-afb3-b8bad86f7014,6,6,0,6.305,5.718,-0.5869999999999997,11,False
PL,nuscale_voygr6,mc_10000,mc_summary,29479c3f-8db8-4f62-90e8-59ad6739f90b,34,37,3,6.12,5.671,-0.44899999999999984,61,False
RS,nuscale_voygr6,mc_10000,mc_summary,296282b1-d079-4c1e-b2df-12c25128b963,6,6,0,6.259,5.547,-0.7120000000000006,6,False
PL,nuscale_voygr6,mc_10000,mc_summary,2981a12d-3444-4301-96ba-a63ef50bec3e,1,1,0,7.516,6.788,-0.7279999999999998,61,False
RO,nuscale_voygr6,mc_10000,mc_summary,29836b52-a882-4921-95a7-6417e636d9a2,3,3,0,6.76,6.23,-0.5299999999999994,21,False
PL,nuscale_voygr6,mc_10000,mc_summary,29a58981-aaf7-4450-ad41-49dd6d786168,48,54,6,5.782,5.324,-0.4580000000000002,61,False
UA,nuscale_voygr6,mc_10000,mc_summary,29b3a802-7ef1-4722-ad59-b1511b1b0075,1,3,2,7.046,6.057,-0.9889999999999999,20,False
TR,nuscale_voygr6,mc_10000,mc_summary,2a3aad60-2bff-4206-8275-f6e2029f9278,66,81,15,6.252,5.506,-0.7459999999999996,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,2b6a65d3-efb0-44d8-b88b-9aad311f4ac4,31,58,27,6.664,5.722,-0.9419999999999993,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,2da9dab9-7b4e-46e7-b1c8-70eeb329c177,56,59,3,5.614,5.246,-0.36799999999999944,61,False
AT,nuscale_voygr6,mc_10000,mc_summary,2dcd2c6d-f375-4408-9492-7910662fac03,1,2,1,7.333,6.362,-0.9710000000000001,6,False
TR,nuscale_voygr6,mc_10000,mc_summary,2ec95392-978d-4a43-85b9-af3282c212ba,2,2,0,7.305,6.322,-0.9829999999999997,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,2ed9363f-a9fe-46e5-8b92-c50b47a9077a,68,45,-23,6.237,5.821,-0.41600000000000037,110,False
BG,nuscale_voygr6,mc_10000,mc_summary,2fb27566-cc7b-4530-8ff9-e55e3a1985bd,5,5,0,6.504,6.142,-0.3619999999999992,7,False
CZ,nuscale_voygr6,mc_10000,mc_summary,2fe0a0b3-4108-427e-8e54-f77e1ea7227c,3,6,3,6.939,6.248,-0.6909999999999998,29,False
BG,nuscale_voygr6,mc_10000,mc_summary,30c9e377-b575-46fa-880f-922c46e6500a,1,3,2,7.102,6.213,-0.8890000000000002,7,False
CZ,nuscale_voygr6,mc_10000,mc_summary,32484f7b-18a4-4b21-8e6a-6d68ae099d02,5,4,-1,6.85,6.296,-0.5539999999999994,29,False
BG,nuscale_voygr6,mc_10000,mc_summary,33a015dd-51e0-497e-b0d3-4b1b3f070438,6,6,0,5.792,5.504,-0.28800000000000026,7,False
BA,nuscale_voygr6,mc_10000,mc_summary,344e0e9a-558e-4749-bb66-cd746be50cbd,5,5,0,5.556,5.2,-0.35599999999999987,5,False
RO,nuscale_voygr6,mc_10000,mc_summary,345fb795-170a-4fb5-833c-f6bcf2eb450c,1,1,0,7.633,6.744,-0.8890000000000002,21,False
HU,nuscale_voygr6,mc_10000,mc_summary,34d88ce8-d49c-4b19-af2d-6efcb1b72149,11,11,0,5.308,5.089,-0.21899999999999942,11,False
UA,nuscale_voygr6,mc_10000,mc_summary,3657989a-61ae-4fe3-9e8b-6ba7e68f8c59,14,16,2,6.017,5.57,-0.44700000000000006,20,False
ME,nuscale_voygr6,mc_10000,mc_summary,3795824b-cb76-48dd-a65c-764c757ddc76,1,1,0,5.242,4.961,-0.2809999999999997,1,True
TR,nuscale_voygr6,mc_10000,mc_summary,381221dd-76da-4adf-9b19-5da9f0779c22,80,65,-15,6.109,5.67,-0.43900000000000006,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,3819acc8-761d-49ba-89e7-967d3d37ec0e,98,99,1,5.851,5.39,-0.4610000000000003,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,399668d6-bfed-4e5b-bf38-9ee5902101c3,57,58,1,5.597,5.287,-0.3100000000000005,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,3a06636d-c742-4b72-b9cd-21a4537c331b,84,90,6,6.073,5.466,-0.6070000000000002,110,False
BG,nuscale_voygr6,mc_10000,mc_summary,3bb6666f-de2f-4c6f-a28e-c3bddb71b54a,3,4,1,6.891,6.165,-0.726,7,False
UA,nuscale_voygr6,mc_10000,mc_summary,3bd2a957-ff3b-4bfd-9dba-808279edccb9,18,18,0,5.739,5.43,-0.30900000000000016,20,False
RO,nuscale_voygr6,mc_10000,mc_summary,3bef37a3-239e-498d-a160-77452a6a9b79,20,21,1,5.442,5.113,-0.32899999999999974,21,False
PL,nuscale_voygr6,mc_10000,mc_summary,3d2d4c37-eb9d-4b35-a8b1-b3f485bc3e3f,32,39,7,6.146,5.628,-0.5179999999999998,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,3e5f4317-6f40-44fb-bfa2-e21dc4d9922d,34,36,2,6.618,5.89,-0.7280000000000006,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,3f1ad930-cffb-4991-badd-773db74b890c,43,37,-6,6.569,5.884,-0.6849999999999996,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,40650551-0c9c-45ea-bac6-befdb0cb5909,31,29,-2,6.19,5.761,-0.42900000000000027,61,False
PL,nuscale_voygr6,mc_10000,mc_summary,409dde58-5df1-44d9-b5ec-f8e2edd86786,35,31,-4,6.12,5.724,-0.3959999999999999,61,False
PL,nuscale_voygr6,mc_10000,mc_summary,40b4334a-7ba4-4ed8-aa8e-3c405599fbd7,45,45,0,5.891,5.518,-0.3730000000000002,61,False
PL,nuscale_voygr6,mc_10000,mc_summary,416aab55-6fd9-4a0a-b8f8-796fb62d86a5,30,30,0,6.198,5.733,-0.46500000000000075,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,42d5b3fd-7d07-409b-9154-4441695b7901,67,60,-7,6.241,5.705,-0.5359999999999996,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,43e5b2b4-2ccf-46ab-b01e-e3d480146455,27,24,-3,5.551,5.361,-0.1900000000000004,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,43f99d45-6635-4392-a522-4a06445fdaf2,39,55,16,6.576,5.747,-0.8289999999999997,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,4411a22e-4e8a-4715-b000-1aae34494b68,8,9,1,7.088,6.407,-0.681,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,44362378-9c74-44af-8a08-be4877f50e97,92,85,-7,5.977,5.499,-0.47800000000000065,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,44698c12-3c50-4602-8104-dafa5fd215b6,56,48,-8,6.435,5.787,-0.6479999999999997,110,False
UA,nuscale_voygr6,mc_10000,mc_summary,447a9ea1-47fa-48a3-93f2-a77cbd629ac7,10,12,2,6.304,5.678,-0.6260000000000003,20,False
CZ,nuscale_voygr6,mc_10000,mc_summary,44d40276-5847-41d1-ab9b-887bbdc1bcfe,22,23,1,5.823,5.431,-0.39200000000000035,29,False
UA,nuscale_voygr6,mc_10000,mc_summary,46b96bc3-b190-4045-9c86-eb674e2ea35e,8,9,1,6.426,5.766,-0.6600000000000001,20,False
PL,nuscale_voygr6,mc_10000,mc_summary,47be3ec4-7abe-4f4c-ac3d-b7f753b8514a,46,42,-4,5.886,5.576,-0.3100000000000005,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,48149515-0774-404d-b273-790b660a8d90,44,18,-26,6.555,6.04,-0.5149999999999997,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,4b11cac9-4fe0-4a2a-9c09-4fe9a0ac6015,24,28,4,6.745,5.989,-0.7560000000000002,110,False
UA,nuscale_voygr6,mc_10000,mc_summary,4e45df00-0d28-44d0-9697-3fa33d76fc88,11,8,-3,6.278,5.787,-0.49099999999999966,20,False
CZ,nuscale_voygr6,mc_10000,mc_summary,4eb7914c-e000-403c-b5a5-c350de67bb83,23,25,2,5.728,5.344,-0.38399999999999945,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,5067ece3-b204-495e-81c1-90a523252547,103,106,3,5.776,5.233,-0.5430000000000001,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,52028d4f-7796-4463-832e-cff2e439c96a,82,89,7,6.102,5.468,-0.6340000000000003,110,False
RO,nuscale_voygr6,mc_10000,mc_summary,52a7babe-313f-493b-86b9-bd0c4aece4c3,5,6,1,6.597,5.965,-0.6320000000000006,21,False
PL,nuscale_voygr6,mc_10000,mc_summary,52db4dae-b014-45a4-96c4-49f80c1fdd11,6,3,-3,7.125,6.596,-0.5289999999999999,61,False
AT,nuscale_voygr6,mc_10000,mc_summary,532bfb42-0d4c-42cf-a81a-287f2b3a75bf,4,3,-1,6.562,6.115,-0.44700000000000006,6,False
TR,nuscale_voygr6,mc_10000,mc_summary,53481b7f-5b85-4bab-be04-4866c2e72c12,108,101,-7,5.5,5.365,-0.1349999999999998,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,558e7bff-5b5d-4666-9ca3-ec02f2269aab,2,2,0,7.314,6.726,-0.5880000000000001,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,55cfe45b-6357-40f9-8623-e9916f91f839,22,17,-5,6.781,6.044,-0.7370000000000001,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,56b8e2a3-1885-431f-9fd1-4cd3bebfad61,32,39,7,6.664,5.873,-0.7909999999999995,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,57c0c830-725f-46ee-9322-0a4a3ad9efda,5,5,0,7.107,6.184,-0.923,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,5a19f424-1a15-44e6-bf1b-c2c5886ac1bf,72,66,-6,6.19,5.668,-0.5220000000000002,110,False
RO,nuscale_voygr6,mc_10000,mc_summary,5a33e5f0-6d86-4eab-adea-6c6bad7f3f45,16,9,-7,5.925,5.759,-0.16599999999999948,21,False
PL,nuscale_voygr6,mc_10000,mc_summary,5a57ae0a-6f91-46f4-a1f5-56a6b37596e9,61,61,0,5.458,5.141,-0.31700000000000017,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,5b6be56c-d981-470c-a979-13a8764a34b8,91,94,3,5.982,5.425,-0.5570000000000004,110,False
RS,nuscale_voygr6,mc_10000,mc_summary,5d4aee8d-9e73-4987-907a-d092e0ba92ed,5,3,-2,6.524,5.964,-0.5599999999999996,6,False
HU,nuscale_voygr6,mc_10000,mc_summary,5de5f907-98e7-42d3-a7dd-cb65f839697b,3,3,0,6.873,6.306,-0.5670000000000002,11,False
UA,nuscale_voygr6,mc_10000,mc_summary,5ed0a674-a292-44bc-997f-5c1990da1235,2,1,-1,6.966,6.198,-0.7679999999999998,20,False
TR,nuscale_voygr6,mc_10000,mc_summary,5ed91c1b-0a1b-4a4c-9b2b-f6bdc8ff9770,102,105,3,5.79,5.308,-0.4820000000000002,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,15,14,-1,6.293,5.87,-0.42300000000000004,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,5fa0dfa9-c272-444e-8e70-80ab55b5d36c,16,12,-4,6.847,6.099,-0.7480000000000002,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,60baaa73-dd8c-4865-bb18-6c73d63a4052,10,8,-2,6.49,6.048,-0.44200000000000017,29,False
CZ,nuscale_voygr6,mc_10000,mc_summary,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,11,11,0,6.469,5.973,-0.49600000000000044,29,False
HU,nuscale_voygr6,mc_10000,mc_summary,651839d3-4e8f-4214-89aa-1f96ea221121,7,7,0,5.981,5.595,-0.3860000000000001,11,False
AT,nuscale_voygr6,mc_10000,mc_summary,660d9d71-6733-4294-951b-1c58614d58cf,2,1,-1,7.101,6.371,-0.7299999999999995,6,False
PL,nuscale_voygr6,mc_10000,mc_summary,66bdc30c-4179-480b-a55a-5d15be5ac66b,21,15,-6,6.636,6.165,-0.4710000000000001,61,False
CZ,nuscale_voygr6,mc_10000,mc_summary,66c3f077-1ee6-41d7-8e6c-da374bb45139,28,28,0,5.551,5.274,-0.27700000000000014,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,674deb4f-110c-4120-bea0-5f0711da3ea1,12,22,10,6.891,6.005,-0.8860000000000001,110,False
BY,nuscale_voygr6,mc_10000,mc_summary,68aabff9-e662-4b9f-b37d-4c2ebc5f7539,2,2,0,6.399,5.616,-0.7830000000000004,2,True
RO,nuscale_voygr6,mc_10000,mc_summary,693d9b73-f9fc-4502-9b94-be020c5d21fb,4,4,0,6.679,6.168,-0.5110000000000001,21,False
RO,nuscale_voygr6,mc_10000,mc_summary,6aed2eac-1c97-40c5-b842-fb15fd510f35,9,8,-1,6.149,5.907,-0.242,21,False
RO,nuscale_voygr6,mc_10000,mc_summary,6c428b2a-ad09-448b-b24c-22465929d69c,19,20,1,5.458,5.185,-0.2730000000000006,21,False
TR,nuscale_voygr6,mc_10000,mc_summary,6c9571c4-5d3b-4f88-a7be-fa8c21425eeb,8,6,-2,7.031,6.183,-0.8479999999999999,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,6ddc2960-3d72-4d5f-b358-56d1c54f47e0,57,49,-8,6.435,5.786,-0.649,110,False
AT,nuscale_voygr6,mc_10000,mc_summary,6e7fc4d8-636d-411a-baef-e138a5a07acc,5,5,0,6.513,6.039,-0.4740000000000002,6,False
BG,nuscale_voygr6,mc_10000,mc_summary,704ef487-f600-4f23-b06e-a0f81b627597,7,7,0,5.646,5.5,-0.1459999999999999,7,False
UA,nuscale_voygr6,mc_10000,mc_summary,70781f2c-24c2-486c-8b32-310c36ba1238,17,15,-2,5.887,5.618,-0.26899999999999924,20,False
UA,nuscale_voygr6,mc_10000,mc_summary,725406d6-860f-4ca0-9c6a-425675bac381,7,6,-1,6.44,5.896,-0.5440000000000005,20,False
TR,nuscale_voygr6,mc_10000,mc_summary,737b6d06-1d0c-4ae6-9683-ab3fea192b32,86,78,-8,6.062,5.526,-0.5360000000000005,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,73fe8f06-c53b-4877-9c1d-5caf3d8f2749,60,52,-8,5.51,5.351,-0.1589999999999998,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,746fc66e-d31f-4c5d-bf5c-ab5031b04b15,75,87,12,6.145,5.484,-0.6609999999999996,110,False
MK,nuscale_voygr6,mc_10000,mc_summary,756218bb-3f16-443e-b6c6-400cd0ce2f87,3,3,0,5.294,5.011,-0.2829999999999995,3,False
TR,nuscale_voygr6,mc_10000,mc_summary,76cd9b7f-7613-4fd4-95ab-bf534a2e2f5e,73,91,18,6.176,5.464,-0.7119999999999997,110,False
SK,nuscale_voygr6,mc_10000,mc_summary,770f1d3c-e5fd-493c-a376-e708d2abec6c,2,2,0,6.864,6.27,-0.5940000000000003,5,False
TR,nuscale_voygr6,mc_10000,mc_summary,772e2484-419b-47de-9739-924ac371ad10,61,71,10,6.409,5.614,-0.7949999999999999,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,778e0750-19f9-426e-a6c7-e0e30645fb97,3,3,0,7.198,6.271,-0.9270000000000005,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,7a805295-0cd2-48be-972e-5282c996549c,58,50,-8,6.435,5.786,-0.649,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,7b4d3f8f-a644-48a3-93f9-cd3c154dc5c2,104,84,-20,5.766,5.5,-0.266,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,7cc9cffa-e4e4-4546-902d-c8f4800dbdb2,30,33,3,6.672,5.939,-0.7329999999999997,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,7fc17ab0-ce24-4830-a938-b8424d1e9368,13,12,-1,6.957,6.29,-0.6669999999999998,61,False
BA,nuscale_voygr6,mc_10000,mc_summary,82011c29-a3d3-4a81-a27b-019d2649a251,1,3,2,5.907,5.419,-0.48800000000000043,5,False
RO,nuscale_voygr6,mc_10000,mc_summary,825dc024-9a53-4237-bf59-cbe0af0cf87d,10,13,3,6.082,5.656,-0.42600000000000016,21,False
TR,nuscale_voygr6,mc_10000,mc_summary,82aac38c-3037-466c-9b37-bff9da707645,40,46,6,6.573,5.821,-0.7520000000000007,110,False
MK,nuscale_voygr6,mc_10000,mc_summary,83d3abe4-2049-47ad-a66b-46034edb7569,2,2,0,5.827,5.393,-0.43400000000000016,3,False
UA,nuscale_voygr6,mc_10000,mc_summary,83fede8b-5f92-429d-920d-9a8928a74780,4,7,3,6.697,5.805,-0.8920000000000003,20,False
RO,nuscale_voygr6,mc_10000,mc_summary,8781d874-5923-4795-9c9f-b2a6c709025a,17,16,-1,5.811,5.567,-0.24399999999999977,21,False
TR,nuscale_voygr6,mc_10000,mc_summary,8a5dc384-e272-41ed-9868-a0686ac3fc7e,33,40,7,6.664,5.873,-0.7909999999999995,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,8a9d5c87-7edc-49c3-85a2-d97727b9c9b2,24,24,0,6.425,5.946,-0.4790000000000001,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,8b16dc60-1a2b-4b2c-bcad-1c334d246ae3,65,88,23,6.288,5.471,-0.8170000000000002,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,8dd46a05-6e0c-4009-90ad-bd5909c25622,90,104,14,5.984,5.312,-0.6719999999999997,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,8dd8db4c-b62d-4f6b-a2ee-70a9ed785e7a,43,49,6,5.925,5.481,-0.44399999999999995,61,False
PL,nuscale_voygr6,mc_10000,mc_summary,8e485f8a-5c68-4541-ab1d-77783f6fcb2d,17,16,-1,6.762,6.143,-0.6189999999999998,61,False
HU,nuscale_voygr6,mc_10000,mc_summary,903d6b94-cd9d-4c32-b7e2-4bbfbee929df,5,5,0,6.338,5.77,-0.5680000000000005,11,False
AT,nuscale_voygr6,mc_10000,mc_summary,90820fe3-9889-4faf-9906-7c528f8d7bc5,6,6,0,6.399,5.919,-0.4800000000000004,6,False
TR,nuscale_voygr6,mc_10000,mc_summary,9163ca37-1b31-409d-974f-9e7ed5e5f33d,55,53,-2,6.445,5.758,-0.6870000000000003,110,False
PL,nuscale_voygr6,mc_10000,mc_summary,917008f5-fba1-4ef7-b82d-9aded2b69267,16,20,4,6.812,6.039,-0.7730000000000006,61,False
TR,nuscale_voygr6,mc_10000,mc_summary,91f28dbb-16bd-449b-a20a-dc2b70cf2e66,69,63,-6,6.206,5.673,-0.5330000000000004,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,94a5c55f-c499-41b1-81da-deaa36686399,21,23,2,6.803,5.997,-0.806,110,False
UA,nuscale_voygr6,mc_10000,mc_summary,95872473-c476-4ceb-bcf5-54cfdf415e42,19,19,0,5.574,5.287,-0.2869999999999999,20,False
RO,nuscale_voygr6,mc_10000,mc_summary,958e4d82-853a-41f1-a442-94b4c4314221,2,2,0,7.272,6.444,-0.8280000000000003,21,False
TR,nuscale_voygr6,mc_10000,mc_summary,96129c93-83a6-4b1c-929b-bfccba86a796,70,83,13,6.204,5.503,-0.7009999999999996,110,False
TR,nuscale_voygr6,mc_10000,mc_summary,9699244b-14c0-4e27-afd1-105494fccd60,38,20,-18,6.584,6.014,-0.5699999999999994,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,97ed917e-acfa-4002-be89-4ec44972ab45,21,18,-3,5.85,5.64,-0.20999999999999996,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,98019711-a8c3-424a-870e-00d4fea75ed1,88,72,-16,6.036,5.601,-0.4349999999999996,110,False
RO,nuscale_voygr6,mc_10000,mc_summary,9825e28e-fd6e-460d-9caf-0342563f9060,6,7,1,6.422,5.952,-0.46999999999999975,21,False
RS,nuscale_voygr6,mc_10000,mc_summary,993ccce2-d5e1-498d-827d-8dbfeb42582b,3,2,-1,6.584,5.99,-0.5939999999999994,6,False
HU,nuscale_voygr6,mc_10000,mc_summary,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,1,1,0,7.568,6.779,-0.7889999999999997,11,False
AT,nuscale_voygr6,mc_10000,mc_summary,99d712ac-7993-4186-8a0e-2e88bae7e90f,3,4,1,6.646,6.042,-0.6040000000000001,6,False
TR,nuscale_voygr6,mc_10000,mc_summary,9a6447f2-2887-4cce-a115-dc773d7f6eb1,48,41,-7,6.511,5.85,-0.6610000000000005,110,False
CZ,nuscale_voygr6,mc_10000,mc_summary,9c4291f1-173b-467e-ae26-8cb01312c605,8,9,1,6.66,6.008,-0.6520000000000001,29,False
TR,nuscale_voygr6,mc_10000,mc_summary,9eb693f6-6994-4937-bc4d-e8213baa5d47,29,42,13,6.702,5.838,-0.8639999999999999,110,False
