country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
TR,nuscale_voygr6,w_HI_minus_20,weight,57c0c830-725f-46ee-9322-0a4a3ad9efda,5,5,0,7.107,7.031,-0.07600000000000051,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,5a19f424-1a15-44e6-bf1b-c2c5886ac1bf,72,68,-4,6.19,6.196,0.005999999999999339,110,False
RO,nuscale_voygr6,w_HI_minus_20,weight,5a33e5f0-6d86-4eab-adea-6c6bad7f3f45,16,16,0,5.925,5.938,0.0129999999999999,21,False
PL,nuscale_voygr6,w_HI_minus_20,weight,5a57ae0a-6f91-46f4-a1f5-56a6b37596e9,61,61,0,5.458,5.449,-0.009000000000000341,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,5b6be56c-d981-470c-a979-13a8764a34b8,91,92,1,5.982,5.929,-0.052999999999999936,110,False
RS,nuscale_voygr6,w_HI_minus_20,weight,5d4aee8d-9e73-4987-907a-d092e0ba92ed,5,5,0,6.524,6.546,0.02200000000000024,6,False
HU,nuscale_voygr6,w_HI_minus_20,weight,5de5f907-98e7-42d3-a7dd-cb65f839697b,3,3,0,6.873,6.89,0.01699999999999946,11,False
UA,nuscale_voygr6,w_HI_minus_20,weight,5ed0a674-a292-44bc-997f-5c1990da1235,2,2,0,6.966,6.989,0.022999999999999687,20,False
TR,nuscale_voygr6,w_HI_minus_20,weight,5ed91c1b-0a1b-4a4c-9b2b-f6bdc8ff9770,102,100,-2,5.79,5.779,-0.01100000000000012,110,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,15,15,0,6.293,6.302,0.008999999999999453,29,False
TR,nuscale_voygr6,w_HI_minus_20,weight,5fa0dfa9-c272-444e-8e70-80ab55b5d36c,16,14,-2,6.847,6.839,-0.008000000000000007,110,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,60baaa73-dd8c-4865-bb18-6c73d63a4052,10,10,0,6.49,6.519,0.028999999999999915,29,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,11,12,1,6.469,6.426,-0.04300000000000015,29,False
HU,nuscale_voygr6,w_HI_minus_20,weight,651839d3-4e8f-4214-89aa-1f96ea221121,7,7,0,5.981,6.035,0.05400000000000027,11,False
AT,nuscale_voygr6,w_HI_minus_20,weight,660d9d71-6733-4294-951b-1c58614d58cf,2,2,0,7.101,7.08,-0.020999999999999908,6,False
PL,nuscale_voygr6,w_HI_minus_20,weight,66bdc30c-4179-480b-a55a-5d15be5ac66b,21,18,-3,6.636,6.733,0.09699999999999953,61,False
CZ,nuscale_voygr6,w_HI_minus_20,weight,66c3f077-1ee6-41d7-8e6c-da374bb45139,28,28,0,5.551,5.546,-0.004999999999999893,29,False
TR,nuscale_voygr6,w_HI_minus_20,weight,674deb4f-110c-4120-bea0-5f0711da3ea1,12,13,1,6.891,6.842,-0.04900000000000038,110,False
BY,nuscale_voygr6,w_HI_minus_20,weight,68aabff9-e662-4b9f-b37d-4c2ebc5f7539,2,2,0,6.399,6.473,0.07399999999999984,2,True
RO,nuscale_voygr6,w_HI_minus_20,weight,693d9b73-f9fc-4502-9b94-be020c5d21fb,4,3,-1,6.679,6.744,0.0649999999999995,21,False
RO,nuscale_voygr6,w_HI_minus_20,weight,6aed2eac-1c97-40c5-b842-fb15fd510f35,9,9,0,6.149,6.143,-0.006000000000000227,21,False
RO,nuscale_voygr6,w_HI_minus_20,weight,6c428b2a-ad09-448b-b24c-22465929d69c,19,19,0,5.458,5.506,0.04800000000000004,21,False
TR,nuscale_voygr6,w_HI_minus_20,weight,6c9571c4-5d3b-4f88-a7be-fa8c21425eeb,8,8,0,7.031,6.953,-0.0779999999999994,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,6ddc2960-3d72-4d5f-b358-56d1c54f47e0,57,57,0,6.435,6.366,-0.06899999999999995,110,False
AT,nuscale_voygr6,w_HI_minus_20,weight,6e7fc4d8-636d-411a-baef-e138a5a07acc,5,5,0,6.513,6.535,0.02200000000000024,6,False
BG,nuscale_voygr6,w_HI_minus_20,weight,704ef487-f600-4f23-b06e-a0f81b627597,7,7,0,5.646,5.718,0.07200000000000006,7,False
UA,nuscale_voygr6,w_HI_minus_20,weight,70781f2c-24c2-486c-8b32-310c36ba1238,17,16,-1,5.887,5.939,0.05200000000000049,20,False
UA,nuscale_voygr6,w_HI_minus_20,weight,725406d6-860f-4ca0-9c6a-425675bac381,7,8,1,6.44,6.433,-0.007000000000000561,20,False
TR,nuscale_voygr6,w_HI_minus_20,weight,737b6d06-1d0c-4ae6-9683-ab3fea192b32,86,88,2,6.062,6.002,-0.0600000000000005,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,73fe8f06-c53b-4877-9c1d-5caf3d8f2749,60,60,0,5.51,5.484,-0.0259999999999998,61,False
TR,nuscale_voygr6,w_HI_minus_20,weight,746fc66e-d31f-4c5d-bf5c-ab5031b04b15,75,77,2,6.145,6.064,-0.08099999999999952,110,False
MK,nuscale_voygr6,w_HI_minus_20,weight,756218bb-3f16-443e-b6c6-400cd0ce2f87,3,3,0,5.294,5.353,0.05900000000000016,3,False
TR,nuscale_voygr6,w_HI_minus_20,weight,76cd9b7f-7613-4fd4-95ab-bf534a2e2f5e,73,74,1,6.176,6.095,-0.0810000000000004,110,False
SK,nuscale_voygr6,w_HI_minus_20,weight,770f1d3c-e5fd-493c-a376-e708d2abec6c,2,2,0,6.864,6.855,-0.008999999999999453,5,False
TR,nuscale_voygr6,w_HI_minus_20,weight,772e2484-419b-47de-9739-924ac371ad10,61,60,-1,6.409,6.36,-0.04899999999999949,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,778e0750-19f9-426e-a6c7-e0e30645fb97,3,4,1,7.198,7.126,-0.07200000000000006,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,7a805295-0cd2-48be-972e-5282c996549c,58,58,0,6.435,6.366,-0.06899999999999995,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,7b4d3f8f-a644-48a3-93f9-cd3c154dc5c2,104,104,0,5.766,5.713,-0.052999999999999936,110,False
TR,nuscale_voygr6,w_HI_minus_20,weight,7cc9cffa-e4e4-4546-902d-c8f4800dbdb2,30,33,3,6.672,6.579,-0.09299999999999997,110,False
PL,nuscale_voygr6,w_HI_minus_20,weight,7fc17ab0-ce24-4830-a938-b8424d1e9368,13,13,0,6.957,6.944,-0.0129999999999999,61,False
BA,nuscale_voygr6,w_HI_minus_20,weight,82011c29-a3d3-4a81-a27b-019d2649a251,1,1,0,5.907,5.932,0.025000000000000355,5,False
