criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
HI-01,HI-04,-0.0437,-0.0543,0.0543,360,False
EP-02,NH-14,0.0541,0.0158,0.0541,360,False
EP-02,EP-03,0.0518,0.0539,0.0539,360,False
NH-11,NS-01,0.0539,0.0525,0.0539,360,False
BF-01,RI-05,0.0362,0.0538,0.0538,360,False
HI-02,NS-01,-0.0536,-0.0455,0.0536,360,False
NH-10,RI-02,0.0534,0.0498,0.0534,360,False
HI-02,NS-05,-0.0196,-0.0534,0.0534,360,False
EP-03,NH-08,0.0318,0.0529,0.0529,360,False
HI-04,NS-03,-0.0529,-0.0406,0.0529,360,False
NH-03,NS-03,-0.0521,-0.0356,0.0521,360,False
HI-04,NH-11,-0.052,-0.0485,0.052,360,False
EP-01,NH-12,-0.0519,-0.0138,0.0519,360,False
NH-06,NH-12,-0.0312,-0.0516,0.0516,360,False
HI-04,NH-03,0.0461,0.0514,0.0514,360,False
EP-03,NS-02,0.0501,0.045,0.0501,360,False
BF-01,EP-03,0.05,0.0184,0.05,360,False
HI-03,NH-11,0.0042,0.0499,0.0499,360,False
EP-03,HI-03,-0.025,-0.0497,0.0497,360,False
EP-03,NS-05,-0.0495,-0.0151,0.0495,360,False
NS-02,NS-08,0.0377,0.0491,0.0491,360,False
NS-05,RI-03,0.0271,0.0489,0.0489,360,False
NH-07,NH-10,-0.039,-0.0488,0.0488,360,False
EP-03,RI-06,0.0403,0.0473,0.0473,360,False
NH-12,NS-08,0.0216,0.0469,0.0469,360,False
HI-07,NS-03,0.0098,-0.0466,0.0466,360,False
NH-09,NH-14,0.0464,0.0371,0.0464,360,False
EP-03,NH-06,0.0464,0.0413,0.0464,360,False
EP-04,RI-06,-0.0459,-0.0189,0.0459,360,False
EP-03,RI-04,-0.0459,-0.0447,0.0459,360,False
NH-10,NS-02,-0.0459,-0.0351,0.0459,360,False
NH-11,NS-08,-0.0257,-0.0458,0.0458,360,False
BF-02,NH-09,0.0458,0.0407,0.0458,360,False
NH-09,RI-06,-0.0454,-0.0379,0.0454,360,False
NS-08,RI-05,0.0193,0.0445,0.0445,360,False
NH-08,RI-05,0.0444,0.0398,0.0444,360,False
HI-03,NS-03,-0.0273,-0.0442,0.0442,360,False
NH-06,NH-09,-0.0442,-0.0371,0.0442,360,False
RI-04,RI-06,-0.0441,-0.021,0.0441,360,False
BF-02,NH-02,-0.0433,-0.0353,0.0433,360,False
HI-02,NH-10,0.042,0.043,0.043,360,False
NH-05,NH-12,-0.0428,-0.0274,0.0428,360,False
BF-01,NS-08,-0.0419,-0.0214,0.0419,360,False
NH-05,RI-04,0.0417,0.0247,0.0417,360,False
NS-03,NS-05,-0.0265,-0.0414,0.0414,360,False
BF-01,NH-09,0.0409,0.0412,0.0412,360,False
BF-02,RI-03,0.024,0.0408,0.0408,360,False
EP-01,RI-03,0.0176,0.0405,0.0405,360,False
NS-02,NS-03,0.0402,0.0187,0.0402,360,False
HI-07,RI-06,-0.0257,-0.0399,0.0399,360,False
NH-06,NS-01,0.031,-0.0397,0.0397,360,False
EP-03,NS-03,-0.0382,-0.0394,0.0394,360,False
NH-03,NS-05,0.0154,0.0392,0.0392,360,False
HI-02,NS-03,-0.039,-0.0229,0.039,360,False
EP-01,NH-04,-0.0388,-0.0262,0.0388,360,False
EP-03,NS-08,-0.037,-0.0384,0.0384,360,False
NH-04,NH-06,0.0027,0.0381,0.0381,360,False
NH-08,NS-03,-0.0111,-0.0373,0.0373,360,False
RI-02,RI-05,-0.0373,-0.0118,0.0373,360,False
EP-03,EP-04,-0.0362,-0.0366,0.0366,360,False
HI-06,NH-09,0.0363,0.032,0.0363,360,False
HI-01,NH-09,0.0328,0.0363,0.0363,360,False
NH-08,RI-04,0.0059,0.0359,0.0359,360,False
NS-02,RI-06,0.0329,0.0359,0.0359,360,False
NH-14,RI-05,-0.0019,-0.0358,0.0358,360,False
NH-11,RI-05,0.0104,0.0358,0.0358,360,False
BF-01,HI-01,0.0105,0.0356,0.0356,360,False
HI-04,NH-04,-0.0231,-0.0353,0.0353,360,False
EP-02,HI-02,-0.0298,-0.0347,0.0347,360,False
NH-03,NH-11,-0.0345,-0.0222,0.0345,360,False
EP-02,RI-02,-0.0345,-0.026,0.0345,360,False
NH-09,NH-12,-0.0344,-0.0337,0.0344,360,False
HI-06,NH-12,0.0233,0.0343,0.0343,360,False
HI-07,NS-02,0.0164,0.034,0.034,360,False
BF-02,HI-04,-0.0216,-0.0339,0.0339,360,False
NH-01,NH-11,0.0338,-0.0082,0.0338,360,False
HI-06,RI-03,-0.0338,0.0123,0.0338,360,False
NH-10,RI-04,0.028,0.0337,0.0337,360,False
NH-09,NS-03,-0.0333,-0.0023,0.0333,360,False
EP-01,HI-04,0.0199,0.0324,0.0324,360,False
BF-01,NH-05,-0.0322,0.019,0.0322,360,False
NH-07,NH-12,0.0304,-0.0073,0.0304,360,False
NH-09,RI-04,-0.0279,-0.0294,0.0294,360,False
EP-03,RI-02,-0.0182,-0.0294,0.0294,360,False
HI-03,NH-12,-0.0293,-0.0205,0.0293,360,False
EP-03,NH-03,-0.0293,-0.0259,0.0293,360,False
HI-02,NH-09,-0.0277,-0.0292,0.0292,360,False
NS-01,RI-05,0.029,0.0217,0.029,360,False
HI-03,NH-04,0.0259,0.029,0.029,360,False
BF-01,NH-10,-0.0279,-0.0027,0.0279,360,False
NH-02,NS-02,-0.0278,-0.0204,0.0278,360,False
NH-05,NS-05,0.0128,0.0276,0.0276,360,False
EP-03,NS-01,-0.0276,-0.0203,0.0276,360,False
NH-09,RI-03,-0.0275,-0.0149,0.0275,360,False
HI-04,NH-08,-0.0274,-0.0193,0.0274,360,False
NH-01,NS-03,-0.0272,-0.0032,0.0272,360,False
EP-03,NH-01,0.027,0.0262,0.027,360,False
NH-05,NS-04,-0.021,-0.0269,0.0269,360,False
BF-02,HI-02,-0.018,-0.0263,0.0263,360,False
NH-04,NH-10,-0.0257,-0.0211,0.0257,360,False
HI-04,NH-09,-0.0242,-0.0252,0.0252,360,False
HI-04,NS-05,-0.0028,-0.0248,0.0248,360,False
NH-04,RI-06,-0.0248,-0.0171,0.0248,360,False
BF-02,NH-05,0.0167,0.0243,0.0243,360,False
EP-03,HI-01,-0.0241,-0.0239,0.0241,360,False
NH-10,NS-04,-0.0172,-0.0236,0.0236,360,False
HI-07,NH-09,0.008,-0.0234,0.0234,360,False
BF-02,NS-03,0.004,-0.0232,0.0232,360,False
EP-03,NH-07,0.0203,0.0228,0.0228,360,False
EP-01,NH-08,0.0118,0.0226,0.0226,360,False
EP-02,NH-03,-0.0019,0.0226,0.0226,360,False
HI-02,NH-08,-0.0224,0.0041,0.0224,360,False
HI-04,NH-05,-0.0222,-0.0142,0.0222,360,False
EP-01,NH-09,0.0186,0.0221,0.0221,360,False
NH-12,RI-04,-0.0196,0.0218,0.0218,360,False
NH-11,RI-06,0.0073,0.0211,0.0211,360,False
HI-03,NH-09,0.0092,0.0211,0.0211,360,False
BF-01,RI-02,0.0201,0.0136,0.0201,360,False
BF-01,NS-01,0.02,0.0029,0.02,360,False
EP-02,HI-04,-0.0163,-0.0198,0.0198,360,False
EP-01,EP-02,-0.0192,-0.0196,0.0196,360,False
NH-06,NS-03,-0.0194,-0.0094,0.0194,360,False
NH-09,NH-10,-0.0191,-0.0186,0.0191,360,False
EP-03,HI-06,0.0189,0.006,0.0189,360,False
NH-12,NS-02,-0.0155,-0.0188,0.0188,360,False
EP-03,NH-05,-0.0188,-0.0182,0.0188,360,False
NH-14,NS-03,0.0075,0.0186,0.0186,360,False
NS-02,RI-02,0.016,0.0176,0.0176,360,False
BF-01,NH-07,0.0176,0.0037,0.0176,360,False
NH-09,NS-02,0.0105,0.017,0.017,360,False
HI-02,NH-05,-0.0166,-0.0041,0.0166,360,False
EP-03,NH-04,-0.0137,-0.0164,0.0164,360,False
BF-01,RI-06,0.0162,-0.0073,0.0162,360,False
NH-01,NH-09,-0.0034,-0.0161,0.0161,360,False
BF-02,NH-08,-0.0159,0.0042,0.0159,360,False
NH-09,NS-04,-0.0153,-0.0117,0.0153,360,False
BF-01,NH-04,0.0044,-0.0153,0.0153,360,False
BF-01,NS-03,0.0051,0.0153,0.0153,360,False
EP-03,HI-04,0.0152,0.0036,0.0152,360,False
NH-06,NH-10,0.0145,0.0064,0.0145,360,False
HI-02,NH-03,0.0137,-0.0016,0.0137,360,False
NH-03,NH-09,0.0135,0.0128,0.0135,360,False
EP-03,RI-03,-0.0134,0.0124,0.0134,360,False
EP-03,NH-10,-0.0132,-0.0121,0.0132,360,False
EP-03,HI-02,0.0041,-0.0129,0.0129,360,False
EP-02,NH-04,0.012,0.0096,0.012,360,False
HI-04,NH-10,0.0113,0.0016,0.0113,360,False
EP-01,HI-02,0.0081,0.0111,0.0111,360,False
EP-03,NH-14,0.0071,0.0108,0.0108,360,False
EP-04,NH-09,-0.0107,-0.0107,0.0107,360,False
EP-02,NH-09,0.0062,0.0105,0.0105,360,False
HI-07,RI-03,-0.0094,0.0105,0.0105,360,False
NH-03,NH-12,-0.0097,0.0068,0.0097,360,False
EP-03,RI-05,-0.0097,-0.0091,0.0097,360,False
NH-10,NS-05,-0.0027,0.0095,0.0095,360,False
NH-05,NH-09,0.0091,0.0073,0.0091,360,False
BF-01,NH-12,0.0083,0.0039,0.0083,360,False
NH-08,NS-05,-0.0077,0.0013,0.0077,360,False
HI-02,NH-04,-0.0071,-0.0071,0.0071,360,False
NH-04,NH-07,0.0062,-0.0057,0.0062,360,False
BF-01,NH-03,0.0007,-0.0046,0.0046,360,False
NH-09,RI-05,-0.0005,-0.0023,0.0023,360,False
BF-02,NH-14,0.0021,-0.0018,0.0021,360,False
EP-03,NH-09,-0.0013,-0.0019,0.0019,360,False
NH-14,NS-10,0.0,0.0,0.0,360,False
NH-14,NS-12,0.0,0.0,0.0,360,False
NH-14,NS-13,0.0,0.0,0.0,360,False
NH-14,RI-01,0.0,0.0,0.0,360,False
NS-01,NS-06,0.0,0.0,0.0,360,False
NS-02,NS-06,0.0,0.0,0.0,360,False
NS-01,NS-10,0.0,0.0,0.0,360,False
NS-01,NS-12,0.0,0.0,0.0,360,False
NS-01,NS-13,0.0,0.0,0.0,360,False
NS-01,RI-01,0.0,0.0,0.0,360,False
NS-03,NS-10,0.0,0.0,0.0,360,False
NS-02,NS-10,0.0,0.0,0.0,360,False
NS-02,NS-12,0.0,0.0,0.0,360,False
NS-02,NS-13,0.0,0.0,0.0,360,False
NS-02,RI-01,0.0,0.0,0.0,360,False
NS-03,NS-06,0.0,0.0,0.0,360,False
NH-12,RI-01,0.0,0.0,0.0,360,False
NS-03,NS-12,0.0,0.0,0.0,360,False
NS-03,NS-13,0.0,0.0,0.0,360,False
NS-03,RI-01,0.0,0.0,0.0,360,False
NS-04,NS-06,0.0,0.0,0.0,360,False
NH-14,NS-06,0.0,0.0,0.0,360,False
NH-11,NS-12,0.0,0.0,0.0,360,False
NH-12,NS-13,0.0,0.0,0.0,360,False
NH-10,NS-10,0.0,0.0,0.0,360,False
NH-08,NS-12,0.0,0.0,0.0,360,False
NH-08,NS-13,0.0,0.0,0.0,360,False
NH-08,RI-01,0.0,0.0,0.0,360,False
NH-09,NS-06,0.0,0.0,0.0,360,False
NH-09,NS-10,0.0,0.0,0.0,360,False
NH-09,NS-12,0.0,0.0,0.0,360,False
NH-09,NS-13,0.0,0.0,0.0,360,False
NH-09,RI-01,0.0,0.0,0.0,360,False
NH-10,NS-06,0.0,0.0,0.0,360,False
NH-10,NS-12,0.0,0.0,0.0,360,False
NH-12,NS-12,0.0,0.0,0.0,360,False
NH-10,NS-13,0.0,0.0,0.0,360,False
NH-10,RI-01,0.0,0.0,0.0,360,False
NH-11,NS-06,0.0,0.0,0.0,360,False
NH-11,NS-10,0.0,0.0,0.0,360,False
NS-04,NS-12,0.0,0.0,0.0,360,False
NH-11,NS-13,0.0,0.0,0.0,360,False
NH-11,RI-01,0.0,0.0,0.0,360,False
NH-12,NS-06,0.0,0.0,0.0,360,False
NH-12,NS-10,0.0,0.0,0.0,360,False
NS-04,NS-10,0.0,0.0,0.0,360,False
NS-05,NS-13,0.0,0.0,0.0,360,False
NS-04,NS-13,0.0,0.0,0.0,360,False
NS-12,RI-06,0.0,0.0,0.0,360,False
NS-10,RI-04,0.0,0.0,0.0,360,False
NS-10,RI-05,0.0,0.0,0.0,360,False
NS-10,RI-06,0.0,0.0,0.0,360,False
NS-12,NS-13,0.0,0.0,0.0,360,False
NS-12,RI-01,0.0,0.0,0.0,360,False
NS-12,RI-02,0.0,0.0,0.0,360,False
NS-12,RI-03,0.0,0.0,0.0,360,False
NS-12,RI-04,0.0,0.0,0.0,360,False
NS-12,RI-05,0.0,0.0,0.0,360,False
NS-13,RI-01,0.0,0.0,0.0,360,False
NS-10,RI-02,0.0,0.0,0.0,360,False
NS-13,RI-02,0.0,0.0,0.0,360,False
NS-13,RI-03,0.0,0.0,0.0,360,False
NS-13,RI-04,0.0,0.0,0.0,360,False
NS-13,RI-05,0.0,0.0,0.0,360,False
NS-13,RI-06,0.0,0.0,0.0,360,False
RI-01,RI-02,0.0,0.0,0.0,360,False
RI-01,RI-03,0.0,0.0,0.0,360,False
RI-01,RI-04,0.0,0.0,0.0,360,False
RI-01,RI-05,0.0,0.0,0.0,360,False
NS-10,RI-03,0.0,0.0,0.0,360,False
NS-10,RI-01,0.0,0.0,0.0,360,False
NS-04,RI-01,0.0,0.0,0.0,360,False
NS-06,RI-01,0.0,0.0,0.0,360,False
NS-05,NS-06,0.0,0.0,0.0,360,False
NS-05,NS-10,0.0,0.0,0.0,360,False
NS-05,NS-12,0.0,0.0,0.0,360,False
NH-08,NS-06,0.0,0.0,0.0,360,False
NS-05,RI-01,0.0,0.0,0.0,360,False
NS-06,NS-08,0.0,0.0,0.0,360,False
NS-06,NS-10,0.0,0.0,0.0,360,False
NS-06,NS-12,0.0,0.0,0.0,360,False
NS-06,NS-13,0.0,0.0,0.0,360,False
NS-06,RI-02,0.0,0.0,0.0,360,False
NS-10,NS-13,0.0,0.0,0.0,360,False
NS-06,RI-03,0.0,0.0,0.0,360,False
NS-06,RI-04,0.0,0.0,0.0,360,False
NS-06,RI-05,0.0,0.0,0.0,360,False
NS-06,RI-06,0.0,0.0,0.0,360,False
NS-08,NS-10,0.0,0.0,0.0,360,False
NS-08,NS-12,0.0,0.0,0.0,360,False
NS-08,NS-13,0.0,0.0,0.0,360,False
NS-08,RI-01,0.0,0.0,0.0,360,False
NS-10,NS-12,0.0,0.0,0.0,360,False
NH-08,NS-10,0.0,0.0,0.0,360,False
NH-06,NS-13,0.0,0.0,0.0,360,False
NH-07,RI-01,0.0,0.0,0.0,360,False
HI-01,NS-13,0.0,0.0,0.0,360,False
EP-03,RI-01,0.0,0.0,0.0,360,False
EP-04,NS-06,0.0,0.0,0.0,360,False
EP-04,NS-10,0.0,0.0,0.0,360,False
EP-04,NS-12,0.0,0.0,0.0,360,False
EP-04,NS-13,0.0,0.0,0.0,360,False
EP-04,RI-01,0.0,0.0,0.0,360,False
HI-01,NS-06,0.0,0.0,0.0,360,False
HI-01,NS-10,0.0,0.0,0.0,360,False
HI-01,NS-12,0.0,0.0,0.0,360,False
HI-01,RI-01,0.0,0.0,0.0,360,False
EP-03,NS-12,0.0,0.0,0.0,360,False
HI-02,NS-06,0.0,0.0,0.0,360,False
HI-02,NS-10,0.0,0.0,0.0,360,False
HI-02,NS-12,0.0,0.0,0.0,360,False
HI-02,NS-13,0.0,0.0,0.0,360,False
HI-02,RI-01,0.0,0.0,0.0,360,False
HI-03,NS-06,0.0,0.0,0.0,360,False
HI-03,NS-10,0.0,0.0,0.0,360,False
HI-03,NS-12,0.0,0.0,0.0,360,False
HI-03,NS-13,0.0,0.0,0.0,360,False
EP-03,NS-13,0.0,0.0,0.0,360,False
EP-03,NS-10,0.0,0.0,0.0,360,False
HI-04,NS-06,0.0,0.0,0.0,360,False
BF-02,RI-01,0.0,0.0,0.0,360,False
BF-01,NS-06,0.0,0.0,0.0,360,False
BF-01,NS-10,0.0,0.0,0.0,360,False
BF-01,NS-12,0.0,0.0,0.0,360,False
BF-01,NS-13,0.0,0.0,0.0,360,False
BF-01,RI-01,0.0,0.0,0.0,360,False
BF-02,NS-06,0.0,0.0,0.0,360,False
BF-02,NS-10,0.0,0.0,0.0,360,False
BF-02,NS-12,0.0,0.0,0.0,360,False
BF-02,NS-13,0.0,0.0,0.0,360,False
EP-01,NS-06,0.0,0.0,0.0,360,False
EP-03,NS-06,0.0,0.0,0.0,360,False
EP-01,NS-10,0.0,0.0,0.0,360,False
EP-01,NS-12,0.0,0.0,0.0,360,False
EP-01,NS-13,0.0,0.0,0.0,360,False
EP-01,RI-01,0.0,0.0,0.0,360,False
EP-02,NS-06,0.0,0.0,0.0,360,False
EP-02,NS-10,0.0,0.0,0.0,360,False
EP-02,NS-12,0.0,0.0,0.0,360,False
EP-02,NS-13,0.0,0.0,0.0,360,False
EP-02,RI-01,0.0,0.0,0.0,360,False
HI-03,RI-01,0.0,0.0,0.0,360,False
HI-04,NS-10,0.0,0.0,0.0,360,False
NH-07,NS-13,0.0,0.0,0.0,360,False
NH-05,NS-10,0.0,0.0,0.0,360,False
NH-03,NS-12,0.0,0.0,0.0,360,False
NH-03,NS-13,0.0,0.0,0.0,360,False
NH-03,RI-01,0.0,0.0,0.0,360,False
NH-04,NS-06,0.0,0.0,0.0,360,False
NH-04,NS-10,0.0,0.0,0.0,360,False
NH-04,NS-12,0.0,0.0,0.0,360,False
NH-04,NS-13,0.0,0.0,0.0,360,False
NH-04,RI-01,0.0,0.0,0.0,360,False
NH-05,NS-06,0.0,0.0,0.0,360,False
NH-05,NS-12,0.0,0.0,0.0,360,False
NH-03,NS-06,0.0,0.0,0.0,360,False
NH-05,NS-13,0.0,0.0,0.0,360,False
NH-05,RI-01,0.0,0.0,0.0,360,False
NH-06,NS-06,0.0,0.0,0.0,360,False
NH-06,NS-10,0.0,0.0,0.0,360,False
NH-06,NS-12,0.0,0.0,0.0,360,False
NH-06,RI-01,0.0,0.0,0.0,360,False
NH-07,NS-06,0.0,0.0,0.0,360,False
NH-07,NS-10,0.0,0.0,0.0,360,False
NH-07,NS-12,0.0,0.0,0.0,360,False
NH-03,NS-10,0.0,0.0,0.0,360,False
NH-02,RI-01,0.0,0.0,0.0,360,False
HI-04,NS-12,0.0,0.0,0.0,360,False
HI-07,NS-12,0.0,0.0,0.0,360,False
HI-04,NS-13,0.0,0.0,0.0,360,False
HI-04,RI-01,0.0,0.0,0.0,360,False
HI-06,NS-06,0.0,0.0,0.0,360,False
HI-06,NS-10,0.0,0.0,0.0,360,False
HI-06,NS-12,0.0,0.0,0.0,360,False
HI-06,NS-13,0.0,0.0,0.0,360,False
HI-06,RI-01,0.0,0.0,0.0,360,False
HI-07,NS-06,0.0,0.0,0.0,360,False
HI-07,NS-10,0.0,0.0,0.0,360,False
HI-07,NS-13,0.0,0.0,0.0,360,False
NH-02,NS-13,0.0,0.0,0.0,360,False
HI-07,RI-01,0.0,0.0,0.0,360,False
NH-01,NS-06,0.0,0.0,0.0,360,False
NH-01,NS-10,0.0,0.0,0.0,360,False
NH-01,NS-12,0.0,0.0,0.0,360,False
NH-01,NS-13,0.0,0.0,0.0,360,False
NH-01,RI-01,0.0,0.0,0.0,360,False
NH-02,NS-06,0.0,0.0,0.0,360,False
NH-02,NS-10,0.0,0.0,0.0,360,False
NH-02,NS-12,0.0,0.0,0.0,360,False
RI-01,RI-06,0.0,0.0,0.0,360,False
