criterion_a,criterion_b,pearson,spearman,max_abs,n_pairs,flagged
NH-02,NS-08,-0.1818,-0.2488,0.2488,360,False
BF-02,NH-12,-0.2479,-0.2283,0.2479,360,False
HI-07,RI-04,0.2474,0.2223,0.2474,360,False
HI-07,NH-02,-0.218,-0.2473,0.2473,360,False
HI-06,NH-14,-0.2471,-0.2226,0.2471,360,False
NH-05,NS-01,-0.2225,-0.243,0.243,360,False
NH-02,NS-01,0.1658,0.2416,0.2416,360,False
NH-04,NH-08,-0.1917,-0.2414,0.2414,360,False
EP-04,NH-05,0.2325,0.2409,0.2409,360,False
NH-08,RI-06,0.2408,0.2054,0.2408,360,False
EP-01,HI-06,0.2076,0.2405,0.2405,360,False
NH-12,RI-06,-0.2144,-0.2402,0.2402,360,False
EP-01,RI-05,0.2363,0.24,0.24,360,False
NH-03,NS-04,-0.2372,-0.1914,0.2372,360,False
HI-03,NH-02,-0.1196,-0.2369,0.2369,360,False
NH-04,NH-05,0.2362,0.2192,0.2362,360,False
EP-01,EP-04,0.2339,0.2249,0.2339,360,False
NH-01,RI-04,-0.2331,-0.1873,0.2331,360,False
NH-10,RI-06,0.2162,0.2326,0.2326,360,False
HI-03,NS-01,-0.1867,-0.2326,0.2326,360,False
HI-06,NS-02,0.1999,0.227,0.227,360,False
NH-07,NS-04,0.2133,0.2266,0.2266,360,False
HI-03,NS-05,0.1773,0.2262,0.2262,360,False
HI-03,RI-05,0.1859,0.2251,0.2251,360,False
NS-02,RI-04,0.2147,0.2235,0.2235,360,False
EP-01,NS-08,0.2204,0.2082,0.2204,360,False
NH-01,RI-02,0.2175,0.2079,0.2175,360,False
BF-02,HI-06,0.2077,0.2168,0.2168,360,False
NH-06,RI-05,0.2077,0.2168,0.2168,360,False
BF-02,HI-07,0.2125,0.2166,0.2166,360,False
HI-06,NS-01,-0.2161,-0.2114,0.2161,360,False
NH-03,NH-08,0.1763,0.216,0.216,360,False
NS-02,NS-05,0.188,0.215,0.215,360,False
NS-02,RI-05,0.1956,0.2149,0.2149,360,False
NS-01,NS-04,0.2061,0.2146,0.2146,360,False
HI-03,RI-04,0.1998,0.2137,0.2137,360,False
NH-09,RI-02,-0.2129,-0.2049,0.2129,360,False
EP-02,NH-06,-0.2117,-0.1961,0.2117,360,False
HI-06,NH-06,0.1773,0.209,0.209,360,False
HI-07,NH-05,0.1569,0.2072,0.2072,360,False
EP-01,NS-01,-0.2072,-0.1897,0.2072,360,False
BF-01,HI-06,0.1402,0.207,0.207,360,False
HI-07,NH-10,0.1624,0.2054,0.2054,360,False
NS-02,NS-04,-0.1906,-0.2043,0.2043,360,False
HI-07,NS-05,0.1732,0.2014,0.2014,360,False
NS-08,RI-04,0.201,0.1745,0.201,360,False
NH-11,NH-14,0.2006,0.1859,0.2006,360,False
