country_code,smr_key,weight_profile,scenario_family,site_id,baseline_national_rank,scenario_national_rank,rank_delta,baseline_score,scenario_score,score_delta,eligible_pair_count,small_n
TR,nuscale_voygr6,mc_50000,mc_summary,0049a899-af5f-41cd-86ae-2ba729b6365f,67,72,5,6.299,5.838,-0.4610000000000003,119,False
RS,nuscale_voygr6,mc_50000,mc_summary,0182ec25-0df9-4e4b-9861-d76a332bc282,4,5,1,6.559,6.204,-0.3550000000000004,7,False
UA,nuscale_voygr6,mc_50000,mc_summary,02253fcc-4fc6-42d4-a6a8-42365487302f,13,12,-1,6.318,6.222,-0.0959999999999992,20,False
TR,nuscale_voygr6,mc_50000,mc_summary,0248611c-b745-404f-ad50-c2870882c7a1,15,20,5,7.072,6.472,-0.5999999999999996,119,False
UA,nuscale_voygr6,mc_50000,mc_summary,038d42e9-769b-4b22-9513-dccff48b42cd,18,18,0,6.02,5.844,-0.17599999999999927,20,False
HU,nuscale_voygr6,mc_50000,mc_summary,059b3ad4-7196-4e6b-b169-8605ceeed841,3,4,1,6.872,6.487,-0.3849999999999998,11,False
CZ,nuscale_voygr6,mc_50000,mc_summary,05daa6b2-bb29-4c26-a459-855626673955,12,11,-1,6.464,6.235,-0.2290000000000001,29,False
PL,nuscale_voygr6,mc_50000,mc_summary,06641fea-8997-4b69-a618-6afa34b82591,46,46,0,5.859,5.578,-0.2809999999999997,61,False
SK,nuscale_voygr6,mc_50000,mc_summary,06defca3-9105-437f-afd4-52f5603d9b8e,4,4,0,6.303,6.078,-0.22499999999999964,5,False
TR,nuscale_voygr6,mc_50000,mc_summary,0947a4c8-4fc1-492f-9c66-2c9a993c7fb0,78,73,-5,6.216,5.831,-0.3849999999999998,119,False
CZ,nuscale_voygr6,mc_50000,mc_summary,0ae8917b-a70b-41e5-82de-e4963a7686e3,19,20,1,6.089,5.755,-0.3340000000000005,29,False
PL,nuscale_voygr6,mc_50000,mc_summary,0b187a1d-55de-47cf-96a3-06abc8ff2476,13,18,5,6.884,6.398,-0.48600000000000065,61,False
TR,nuscale_voygr6,mc_50000,mc_summary,0ca4ff78-4113-4ad9-ac04-0fd541d42338,101,106,5,5.845,5.394,-0.4509999999999996,119,False
TR,nuscale_voygr6,mc_50000,mc_summary,0fec985c-c66e-40af-a123-a9ba4db269bb,39,44,5,6.681,6.175,-0.5060000000000002,119,False
TR,nuscale_voygr6,mc_50000,mc_summary,1289753b-43db-4058-8fe1-6e38b5fb01b5,38,41,3,6.719,6.215,-0.5040000000000004,119,False
TR,nuscale_voygr6,mc_50000,mc_summary,142cad75-648a-495d-8c10-792351e72126,2,2,0,7.459,6.897,-0.5619999999999994,119,False
CZ,nuscale_voygr6,mc_50000,mc_summary,14e88076-ce0e-4693-bca4-e80f3f013c7f,14,15,1,6.345,5.952,-0.3929999999999998,29,False
TR,nuscale_voygr6,mc_50000,mc_summary,161660e7-3ccf-4704-b452-b126599700a0,114,113,-1,5.444,5.163,-0.2809999999999997,119,False
TR,nuscale_voygr6,mc_50000,mc_summary,1624a526-07d8-44a4-8ed7-3b035b748f03,116,109,-7,5.369,5.323,-0.045999999999999375,119,False
TR,nuscale_voygr6,mc_50000,mc_summary,166f5fcc-1cc4-4cf5-9e52-59e7ce1557c6,30,18,-12,6.809,6.528,-0.2810000000000006,119,False
SK,nuscale_voygr6,mc_50000,mc_summary,1719d38b-61e8-4b01-844b-3a2f85c8a186,3,3,0,6.741,6.336,-0.40499999999999936,5,False
MK,nuscale_voygr6,mc_50000,mc_summary,1739b1b7-a6f3-466c-9dfa-3d1de9d5b6db,1,1,0,6.812,6.467,-0.34500000000000064,3,False
TR,nuscale_voygr6,mc_50000,mc_summary,17568f0f-91fd-4efe-b4df-2c7cc5d80b7d,117,118,1,5.237,4.815,-0.4219999999999997,119,False
CZ,nuscale_voygr6,mc_50000,mc_summary,180880c2-7284-4723-b02a-a62348b9b40b,9,9,0,6.672,6.321,-0.351,29,False
TR,nuscale_voygr6,mc_50000,mc_summary,1820429d-bd95-4e56-a6db-d9bb57e2ae07,56,68,12,6.451,5.876,-0.5749999999999993,119,False
PL,nuscale_voygr6,mc_50000,mc_summary,187b4fd7-6a61-4e94-8ed4-495ac6dfc317,30,27,-3,6.266,5.953,-0.3129999999999997,61,False
RO,nuscale_voygr6,mc_50000,mc_summary,18ecb024-ee4f-4045-8254-5e95d61dea8c,12,16,4,6.197,5.871,-0.3259999999999996,22,False
LV,nuscale_voygr6,mc_50000,mc_summary,1a5b8f8f-f4be-4514-8738-755d25e19b41,1,1,0,6.603,6.26,-0.34299999999999997,1,True
