country_code,n_sites,K,scenarios_compared,mean_jaccard_vs_baseline_topk,min_jaccard_vs_baseline_topk,band_a_count,band_b_count,band_c_count
AT,6,6,17,1.0,1.0,2,0,0
BA,6,6,17,1.0,1.0,2,0,1
BG,8,8,17,0.9926,0.875,2,1,0
BY,2,2,17,0.9706,0.5,1,0,0
CZ,29,10,17,0.8093,0.6667,3,3,0
HR,1,1,17,1.0,1.0,1,0,0
HU,11,10,17,0.893,0.8182,1,1,0
LV,1,1,17,1.0,1.0,1,0,0
MD,1,1,17,1.0,1.0,1,0,0
ME,2,2,17,1.0,1.0,0,0,2
MK,4,4,17,0.9559,0.75,1,1,0
PL,61,19,17,0.7632,0.5833,8,7,2
RO,22,10,17,0.5471,0.4286,2,3,0
RS,7,7,17,1.0,1.0,1,2,1
SK,5,5,17,1.0,1.0,1,1,0
TR,120,36,17,0.7776,0.7143,17,12,2
UA,20,10,17,0.7112,0.6667,3,2,0
