site_id,name,country_code,latitude,longitude,smr_key,criterion_id,baseline_score,baseline_quality_flag,baseline_confidence,candidate_score,candidate_quality_flag,candidate_band,baseline_justification,fields_json
67e5a20f-e3ab-4c18-9864-cf4591d6e15f,Bugojno Thermal Power Project,BA,44.05,17.45,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: bell_tower, 2.7 km. Total within 25 km: 25. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:48:30.638497+03:00"", ""human_run_id"": ""20260512T184829_549c4b66"", ""nearest_transmitter_km"": 2.74, ""transmitter_count"": 25, ""transmitter_type"": ""bell_tower""}"
85257083-08d1-4560-b198-a9df414da4a9,Gacko Thermal Power Plant,BA,43.172137,18.511555,nuscale_voygr6,HI-07,,,,7.5,scored,Low RF-density proxy: at most ten transmitter-like features and none measured within 5 km.,,"{""hi07_comment"": ""Nearest transmitter: communication, 10.0 km. Total within 25 km: 3. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:48:30.668816+03:00"", ""human_run_id"": ""20260512T184829_549c4b66"", ""nearest_transmitter_km"": 9.98, ""transmitter_count"": 3, ""transmitter_type"": ""communication""}"
e2d645e3-c829-4aac-8f6f-d6a5507fd5fa,Glinica power station,BA,43.333,17.8,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: communication, 1.1 km. Total within 25 km: 60. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:48:30.676545+03:00"", ""human_run_id"": ""20260512T184829_549c4b66"", ""nearest_transmitter_km"": 1.05, ""transmitter_count"": 60, ""transmitter_type"": ""communication""}"
e671be33-8b91-40bd-b563-b833293654aa,Kakanj Thermal Power Plant,BA,44.089633,18.113865,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: minaret, 2.8 km. Total within 25 km: 40. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:48:30.688672+03:00"", ""human_run_id"": ""20260512T184829_549c4b66"", ""nearest_transmitter_km"": 2.8, ""transmitter_count"": 40, ""transmitter_type"": ""minaret""}"
344e0e9a-558e-4749-bb66-cd746be50cbd,Kamengrad Thermal Power Plant,BA,44.766667,16.666667,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: minaret, 4.8 km. Total within 25 km: 13. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:50:48.157270+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 4.84, ""transmitter_count"": 13, ""transmitter_type"": ""minaret""}"
0155b913-765f-4d44-89f5-c176b6867cef,Kongora Thermal Power Plant,BA,43.64611,17.33139,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: antenna, 8.5 km. Total within 25 km: 32. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:51:12.931418+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 8.5, ""transmitter_count"": 32, ""transmitter_type"": ""antenna""}"
aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,Miljevina power station,BA,43.518304,18.652091,nuscale_voygr6,HI-07,,,,9.5,scored,Sparse and distant transmitter proxy: at most five transmitter-like features and none measured within 10 km.,,"{""hi07_comment"": ""Nearest transmitter: tower, 16.1 km. Total within 25 km: 5. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:51:28.577070+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 16.06, ""transmitter_count"": 5, ""transmitter_type"": ""tower""}"
e75c63e5-ef2f-4e08-8f8c-3da41215af9d,Stanari Thermal Power Plant,BA,44.753861,17.792444,nuscale_voygr6,HI-07,,,,5.5,scored,Scoreable ordinary RF environment from count/proximity evidence; power-class-specific severity deferred.,,"{""hi07_comment"": ""Nearest transmitter: minaret, 16.4 km. Total within 25 km: 18. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:51:45.801521+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 16.37, ""transmitter_count"": 18, ""transmitter_type"": ""minaret""}"
0fb50bcc-5616-40d8-9109-8136a958f18d,Tuzla Thermal Power Plant,BA,44.52104,18.606443,nuscale_voygr6,HI-07,,,,3.5,scored,Dense or near transmitter proxy: >25 features in radius or nearest feature < 5 km. Review RF/EMI controls.,,"{""hi07_comment"": ""Nearest transmitter: mast, 4.4 km. Total within 25 km: 19. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:52:02.615823+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 4.43, ""transmitter_count"": 19, ""transmitter_type"": ""mast""}"
a23d073a-cbbd-469a-b134-380945fd3f4c,Ugljevik power station,BA,44.683446,18.968516,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.4 km. Total within 25 km: 29. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:52:18.774667+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.4, ""transmitter_count"": 29, ""transmitter_type"": ""mast""}"
b01fe781-dbc7-40f8-a544-946288020042,Bobov Dol power station,BG,42.285818,23.03283,nuscale_voygr6,HI-07,,,,1.5,scored,Very dense or nearby transmitter proxy: >100 transmitter-like features in radius or nearest feature < 2 km. Power class not measured.,,"{""hi07_comment"": ""Nearest transmitter: mast, 0.2 km. Total within 25 km: 11. Source: OSM Overpass [FIX-04 transmitter]"", ""hi07_quality"": ""medium"", ""human_fetched_at"": ""2026-05-12T21:52:38.519013+03:00"", ""human_run_id"": ""hi06_spf_20260512_185043"", ""nearest_transmitter_km"": 0.24, ""transmitter_count"": 11, ""transmitter_type"": ""mast""}"
