run_id,axis,scope_smr_key,key,metric,value,extra,created_at
fail_20260425b_ff84d75e,country,_all_,BY,n_sites,2.0,,2026-04-25 14:20:46.093382+00:00
fail_20260425b_ff84d75e,country,_all_,BY,n_sites_with_survivor,1.0,,2026-04-25 14:20:46.093384+00:00
fail_20260425b_ff84d75e,country,_all_,BY,both,0.0,,2026-04-25 14:20:46.093383+00:00
fail_20260425b_ff84d75e,country,_all_,BY,floor_only,8.0,,2026-04-25 14:20:46.093383+00:00
fail_20260425b_ff84d75e,country,_all_,BY,hard_only,0.0,,2026-04-25 14:20:46.093383+00:00
fail_20260425b_ff84d75e,country,_all_,BY,survived,8.0,,2026-04-25 14:20:46.093383+00:00
fail_20260425b_ff84d75e,country,_all_,BY,n_pairs,16.0,,2026-04-25 14:20:46.093383+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,floor_only,0.0,,2026-04-25 14:20:46.093360+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093360+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,both,232.0,,2026-04-25 14:20:46.093360+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,n_sites,29.0,,2026-04-25 14:20:46.093359+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,n_pairs,232.0,,2026-04-25 14:20:46.093359+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,survived,0.0,,2026-04-25 14:20:46.093359+00:00
fail_20260425b_ff84d75e,country,_all_,CZ,hard_only,0.0,,2026-04-25 14:20:46.093359+00:00
fail_20260425b_ff84d75e,country,_all_,HR,both,16.0,,2026-04-25 14:20:46.093385+00:00
fail_20260425b_ff84d75e,country,_all_,HR,n_pairs,16.0,,2026-04-25 14:20:46.093384+00:00
fail_20260425b_ff84d75e,country,_all_,HR,n_sites,2.0,,2026-04-25 14:20:46.093384+00:00
fail_20260425b_ff84d75e,country,_all_,HR,survived,0.0,,2026-04-25 14:20:46.093384+00:00
fail_20260425b_ff84d75e,country,_all_,HR,hard_only,0.0,,2026-04-25 14:20:46.093385+00:00
fail_20260425b_ff84d75e,country,_all_,HR,floor_only,0.0,,2026-04-25 14:20:46.093385+00:00
fail_20260425b_ff84d75e,country,_all_,HR,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093385+00:00
fail_20260425b_ff84d75e,country,_all_,HU,n_sites_with_survivor,0.0,,2026-04-25 14:20:46.093369+00:00
fail_20260425b_ff84d75e,country,_all_,HU,n_sites,11.0,,2026-04-25 14:20:46.093368+00:00
fail_20260425b_ff84d75e,country,_all_,HU,n_pairs,88.0,,2026-04-25 14:20:46.093368+00:00
fail_20260425b_ff84d75e,country,_all_,HU,survived,0.0,,2026-04-25 14:20:46.093368+00:00
fail_20260425b_ff84d75e,country,_all_,HU,hard_only,0.0,,2026-04-25 14:20:46.093368+00:00
fail_20260425b_ff84d75e,country,_all_,HU,floor_only,0.0,,2026-04-25 14:20:46.093369+00:00
fail_20260425b_ff84d75e,country,_all_,HU,both,88.0,,2026-04-25 14:20:46.093369+00:00
fail_20260425b_ff84d75e,country,_all_,LV,both,0.0,,2026-04-25 14:20:46.093388+00:00
fail_20260425b_ff84d75e,country,_all_,LV,n_sites,1.0,,2026-04-25 14:20:46.093387+00:00
fail_20260425b_ff84d75e,country,_all_,LV,n_pairs,8.0,,2026-04-25 14:20:46.093387+00:00
fail_20260425b_ff84d75e,country,_all_,LV,survived,0.0,,2026-04-25 14:20:46.093388+00:00
