country_code,site_name,site_id,nearest_airport_km,nearest_airport_name,nearest_airport_type,flight_path_distance_km,airport_count,hi01_quality,hi01_comment,nearest_seveso_km,nearest_industrial_km,hi02_quality,hi02_comment,nearest_toxic_source_km,hi03_quality,hi03_comment,nearest_flammable_storage_km,nearest_pipeline_km,hi04_quality,hi04_comment,hazmat_route_distance_km,hi05_quality,hi05_comment,nearest_military_km,nearest_military_name,military_count,hi06_quality,hi06_comment,nearest_transmitter_km,transmitter_type,transmitter_count,hi07_quality,hi07_comment,nearest_nuclear_km,nearest_nuclear_name,hi08_quality,hi08_comment,fetched_at,run_id,source_db,merge_run_id
TR,Kireçlik power station,76cd9b7f-7613-4fd4-95ab-bf534a2e2f5e,17.74,Black Sea Regional Command Heliport,heliport,17.74,2,high,Nearest: Black Sea Regional Command Heliport (heliport) at 17.7 km; Nearest medium: 44.5 km; Within 30 km: 2; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,16.59,Kaletepe,3,medium,"Nearest military: Kaletepe (military), 16.6 km [A5]. Total features within 25 km: 3. Source: OSM Overpass [FIX-04 military]",8.79,mast,0,not_found,No transmitters/masts found within 25 km. Source: OSM Overpass [FIX-04 transmitter],,,,,2026-04-18 05:29:30.939536+00:00,fix04_20260417_182300,api,merge_phase2_20260421
TR,Kınık power station,7defe42d-669b-489f-aff5-d1b83436607d,26.03,Fly Pergamon Sport Airfield,small_airport,13.01,1,high,Nearest: Fly Pergamon Sport Airfield (small_airport) at 26.0 km; Nearest large: 64.4 km; Nearest medium: 45.1 km; Within 30 km: 1; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,6.13,T.C. Kınık Kaymakamlığı İlçe Jandarma Komutanlığı,7,medium,"Nearest military: T.C. Kınık Kaymakamlığı İlçe Jandarma Komutanlığı (military), 6.1 km [A5]. Total features within 25 km: 7. Source: OSM Overpass [FIX-04 military]",8.45,communication,22,medium,"Nearest transmitter: communication, 8.4 km. Total within 25 km: 22. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 05:42:30.080545+00:00,fix04_20260417_183150,api,merge_phase2_20260421
TR,Kıvanç power station,5b6be56c-d981-470c-a979-13a8764a34b8,49.97,Bozyazı Forest Depot Helipad,heliport,49.46,0,high,Nearest: Bozyazı Forest Depot Helipad (heliport) at 50.0 km; Nearest medium: 98.9 km; Within 30 km: 0; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,,,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],0.51,minaret,18,medium,"Nearest transmitter: minaret, 0.5 km. Total within 25 km: 18. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 08:05:39.076805+00:00,fix04_20260418_071244,api,merge_phase2_20260421
TR,Konya Karapınar power station,ad0c8590-c672-43f2-a813-1217a10f7d2d,80.13,Aksaray Airport,small_airport,40.06,0,high,Nearest: Aksaray Airport (small_airport) at 80.1 km; Nearest large: 99.1 km; Within 30 km: 0; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,,,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],10.76,minaret,16,medium,"Nearest transmitter: minaret, 10.8 km. Total within 25 km: 16. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 08:07:22.231749+00:00,fix04_20260418_071244,api,merge_phase2_20260421
TR,Kütahya Domaniç power station,2a3aad60-2bff-4206-8275-f6e2029f9278,43.4,THK İnönü Airfield,small_airport,21.7,0,high,Nearest: THK İnönü Airfield (small_airport) at 43.4 km; Nearest large: 77.7 km; Nearest medium: 50.8 km; Within 30 km: 0; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,,,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],7.76,observation,17,medium,"Nearest transmitter: observation, 7.8 km. Total within 25 km: 17. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 08:08:47.813307+00:00,fix04_20260418_071244,api,merge_phase2_20260421
TR,Lüminer Enerji power station,bac4a081-83dc-4aba-8076-b67bfc55f54c,27.37,Keşan Air Base,medium_airport,13.69,1,high,Nearest: Keşan Air Base (medium_airport) at 27.4 km; Nearest medium: 27.4 km; Within 30 km: 1; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,0.6,,11,high,"Nearest military: unnamed (military), 0.6 km [A5]. Total features within 25 km: 11. Source: OSM Overpass [FIX-04 military]",0.46,communication,0,not_found,No transmitters/masts found within 25 km. Source: OSM Overpass [FIX-04 transmitter],,,,,2026-04-18 05:44:21.366059+00:00,fix04_20260417_182300,api,merge_phase2_20260421
TR,Meda power station,c8e1cc12-080a-4e01-925d-8fd6e4334856,18.74,Tekirdağ Çorlu Airport,medium_airport,9.37,2,high,Nearest: Tekirdağ Çorlu Airport (medium_airport) at 18.7 km; Nearest large: 79.1 km; Nearest medium: 18.7 km; Within 30 km: 2; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,0.88,UDEM: Ulusal Deniz Emniyeti & Acil Müdahale Merkezi,15,high,"Nearest military: UDEM: Ulusal Deniz Emniyeti & Acil Müdahale Merkezi (military), 0.9 km [A5]. Total features within 25 km: 15. Source: OSM Overpass [FIX-04 military]",0.39,communication,223,medium,"Nearest transmitter: communication, 0.4 km. Total within 25 km: 223. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 05:52:53.842669+00:00,fix04_20260417_183150,api,merge_phase2_20260421
TR,Mersin Gülnar power station,1820429d-bd95-4e56-a6db-d9bb57e2ae07,49.37,Bozyazı Forest Depot Helipad,heliport,49.37,0,high,Nearest: Bozyazı Forest Depot Helipad (heliport) at 49.4 km; Nearest medium: 98.9 km; Within 30 km: 0; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,,,0,not_found,No military features found within 25 km. Source: OSM Overpass [FIX-04 military],0.58,minaret,18,medium,"Nearest transmitter: minaret, 0.6 km. Total within 25 km: 18. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 08:09:18.545259+00:00,fix04_20260418_071244,api,merge_phase2_20260421
TR,Mert power station,42d5b3fd-7d07-409b-9154-4441695b7901,11.02,Osmaniye Provincial Hospital Helipad,heliport,11.02,3,high,Nearest: Osmaniye Provincial Hospital Helipad (heliport) at 11.0 km; Nearest large: 82.1 km; Nearest medium: 66.3 km; Within 30 km: 3; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,2.59,T.C. Erzin Kaymakamlığı İlçe Jandarma Komutanlığı,8,high,"Nearest military: T.C. Erzin Kaymakamlığı İlçe Jandarma Komutanlığı (military), 2.6 km [A5]. Total features within 25 km: 8. Source: OSM Overpass [FIX-04 military]",6.5,minaret,58,medium,"Nearest transmitter: minaret, 6.5 km. Total within 25 km: 58. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 08:10:52.920891+00:00,fix04_20260418_071244,api,merge_phase2_20260421
TR,METES power station,166f5fcc-1cc4-4cf5-9e52-59e7ce1557c6,75.01,Bozyazı Forest Depot Helipad,heliport,75.01,0,high,Nearest: Bozyazı Forest Depot Helipad (heliport) at 75.0 km; Within 30 km: 0; Source: OurAirports; quality: high,,,low,No chemical/petrochemical facilities within search radius; Source: EEA E-PRTR; quality: low,,low,No toxic release sources within search radius; Source: EEA E-PRTR; quality: low,,,low,No flammable storage facilities within search radius; Source: EEA E-PRTR; quality: low,,,,8.76,,3,medium,"Nearest military: unnamed (military), 8.8 km [A5]. Total features within 25 km: 3. Source: OSM Overpass [FIX-04 military]",3.85,observation,16,medium,"Nearest transmitter: observation, 3.9 km. Total within 25 km: 16. Source: OSM Overpass [FIX-04 transmitter]",,,,,2026-04-18 08:11:40.240263+00:00,fix04_20260418_071244,api,merge_phase2_20260421
