country_code,site_name,site_id,ep01_composite_score,ep01_road_score,ep01_special_pop_score,ep01_geography_score,ep01_population_score,ep01_quality,ep01_comment,road_density_km_per_km2,total_road_km,has_motorway_access,ep02_quality,ep02_comment,major_river_barrier,waterway_count_epz,ep03_quality,ep03_comment,hospital_count_epz,prison_count_epz,care_home_count_epz,ep04_quality,ep04_comment,concurrent_hazard_notes,ep05_quality,ep05_comment,fetched_at,run_id,ep01_evacuation_feasible,ep01_terrain_score,ep03_gee_relief_16km_m,ep03_gee_mountain_barrier_score,ep03_cross_source_summary,source_db,merge_run_id
TR,Tunçbilek power station,2ec95392-978d-4a43-85b9-af3282c212ba,44.3,48.8,0.0,95.0,95.0,high,"DRV-02 composite: 44.2/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=0; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.446,875.88,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",3,2,0,medium,"3 hospital/clinic, 2 prison, 0 care home within EPZ",,,,2026-04-20 21:28:50.789176+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Uluköy power station,ddc8bb9c-bf77-4075-b38c-600fb072acf8,57.8,44.6,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.377,739.62,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=1 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",5,1,0,medium,"5 hospital/clinic, 1 prison, 0 care home within EPZ (total 6 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.800295+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Umut power station,d3f986d9-a023-4d43-a0fb-03361f310873,45.8,69.2,10.0,95.0,95.0,high,"DRV-02 composite: 45.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=10; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.786,1542.75,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",7,1,0,medium,"7 hospital/clinic, 1 prison, 0 care home within EPZ",,,,2026-04-20 21:28:50.811162+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Vize power station,381221dd-76da-4adf-9b19-5da9f0779c22,52.5,44.5,90.0,95.0,80.0,high,"DRV-02 composite: 52.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=80. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.375,736.52,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",20,2,0,medium,"20 hospital/clinic, 2 prison, 0 care home within EPZ (total 22 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.822025+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yatağan power station,fd4f7f8c-0d23-450d-9ea0-1b8e52e9a8af,45.5,53.1,90.0,95.0,60.0,high,"DRV-02 composite: 45.5/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=60. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.519,1018.72,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.0mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",2,0,0,medium,"2 hospital/clinic, 0 prison, 0 care home within EPZ (total 2 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.833122+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yenidere power station,52028d4f-7796-4463-832e-cff2e439c96a,57.8,51.1,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.485,953.04,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",1,1,0,medium,"1 hospital/clinic, 1 prison, 0 care home within EPZ (total 2 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.844424+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yeniköy power station,737b6d06-1d0c-4ae6-9683-ab3fea192b32,45.8,47.3,10.0,95.0,95.0,high,"DRV-02 composite: 45.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=10; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.421,827.61,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=2 | max_snowfall=0.0mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",2,1,0,medium,"2 hospital/clinic, 1 prison, 0 care home within EPZ",,,,2026-04-20 21:28:50.854959+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yeniyurt power station,e8b6e342-2011-4343-b415-a8bf08501499,44.3,56.6,0.0,95.0,95.0,high,"DRV-02 composite: 44.2/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=0; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.577,1132.73,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=0 | max_snowfall=0.1mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",31,2,0,medium,"31 hospital/clinic, 2 prison, 0 care home within EPZ",,,,2026-04-20 21:28:50.866925+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yeşilovacık power station,d6cb5642-d5ec-4a15-bc6b-8be4cb0a382e,57.8,40.1,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.302,593.57,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=0 | extreme_precip_months=2 | max_snowfall=0.0mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",1,0,0,medium,"1 hospital/clinic, 0 prison, 0 care home within EPZ (total 1 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.877859+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
TR,Yıldırım Elazığ power station,225656d9-8709-4c2f-9992-1e4f20a6fce8,57.8,50.4,90.0,95.0,95.0,high,"DRV-02 composite: 57.8/100 (FEASIBLE). Sub-scores: ep01_roads=0; ep01_special_pop=90; ep01_geography=95; ep01_terrain=10; ep01_population=95. Sources: osm_overpass, ghsl_pop_100m_r2023a, copernicus_dem_30m.",0.473,928.24,True,medium,ERA5 seasonal constraints proxy (ref 1991-2020) | snow_months=3 | extreme_precip_months=0 | max_snowfall=0.2mm/day | source=copernicus_era5,False,0,medium,"0 waterway(s), major river barrier: no",2,0,0,medium,"2 hospital/clinic, 0 prison, 0 care home within EPZ (total 2 facilities). Source: OSM Overpass [FIX-05 amenities]",,,,2026-04-20 21:28:50.889758+00:00,audit_postlogging_20260421,True,10.0,,,,api,merge_phase2_20260421
