ranking_id,site_id,smr_key,composite_score,rank_position,passed_exclusionary,passed_avoidance,criteria_coverage,avg_confidence,sensitivity_stable,per_category_scores,run_id,ranked_at,composite_score_low,composite_score_high,weight_profile,site_name,country_code
64197daf-617b-46fe-b700-c7d082bcf5df,c3790475-3d3b-4e2b-92ae-24503fe03e6b,nuscale_voygr6,6.122,,True,False,45.83,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 2.9, 'NH': 7.13, 'NS': 7.35, 'RI': 5.55}, 'unscored_fraction': 0.5088}",20260425T140231_ff84d75e,2026-04-25 14:03:24.702679+00:00,4.534,6.532,baseline,Romag Termo power station,RO
29458e7e-2d76-4e35-91d5-9efe2d43a73f,993ccce2-d5e1-498d-827d-8dbfeb42582b,nuscale_voygr6,5.91,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 3.5, 'NH': 6.84, 'NS': 5.67, 'RI': 6.39}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.719559+00:00,4.367,6.436,baseline,Kostolac power station,RS
a1d72f1e-a612-4608-a7aa-1e171591218a,c657c5c3-38a2-472d-8962-9e7cefcd2c1e,nuscale_voygr6,5.866,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 5.88, 'NS': 6.53, 'RI': 5.66}, 'unscored_fraction': 0.5512}",20260425T140231_ff84d75e,2026-04-25 14:03:24.826308+00:00,4.286,6.425,baseline,Diler (Akbayir) Elbistan power station,TR
cd3a5c88-dbd2-4d67-bc71-066ce2bcc97f,5d4aee8d-9e73-4987-907a-d092e0ba92ed,nuscale_voygr6,5.835,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 3.5, 'NH': 6.57, 'NS': 5.79, 'RI': 6.39}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.721568+00:00,4.332,6.301,baseline,Kovin power station,RS
85128632-e7e6-40aa-9b01-7c966ac94718,9699244b-14c0-4e27-afd1-105494fccd60,nuscale_voygr6,5.79,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 5.93, 'NS': 6.53, 'RI': 5.13}, 'unscored_fraction': 0.5548}",20260425T140231_ff84d75e,2026-04-25 14:03:24.764032+00:00,4.242,6.349,baseline,Alpu power station,TR
ca9f623f-5b8d-4fe8-bf6e-42c75e80e30e,d12e7ffc-4cd3-4ff4-81da-ae360d59409b,nuscale_voygr6,5.789,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 3.65, 'NH': 5.8, 'NS': 8.13, 'RI': 3.13}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.810593+00:00,4.311,6.286,baseline,Çebi Enerji power station,TR
9adb180d-bfd7-4709-823a-9648f0e7d502,cc635340-954c-4428-9fa1-14383c7faceb,nuscale_voygr6,5.567,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 5.84, 'NS': 5.84, 'RI': 5.13}, 'unscored_fraction': 0.5548}",20260425T140231_ff84d75e,2026-04-25 14:03:24.875878+00:00,4.143,6.127,baseline,İÇDAŞ Bekirli power station,TR
c0734d18-df4f-4dae-b40d-ad1490aef249,3a06636d-c742-4b72-b9cd-21a4537c331b,nuscale_voygr6,5.492,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 4.58, 'NH': 6.08, 'NS': 5.9, 'RI': 3.97}, 'unscored_fraction': 0.5548}",20260425T140231_ff84d75e,2026-04-25 14:03:24.950870+00:00,4.11,6.095,baseline,Selena power station,TR
3582d6c3-59ea-4e3d-9c85-f2dcccc72a28,c8e1cc12-080a-4e01-925d-8fd6e4334856,nuscale_voygr6,5.474,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 3.65, 'NH': 5.99, 'NS': 6.53, 'RI': 3.97}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.919915+00:00,4.163,6.03,baseline,Meda power station,TR
c3a5c63b-cc24-45eb-99fc-c88dce7aeb23,d5151598-5a1a-4697-8147-592845ffef6c,nuscale_voygr6,5.398,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 3.65, 'NH': 5.99, 'NS': 5.44, 'RI': 4.82}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.859727+00:00,4.127,5.955,baseline,Güreci power station,TR
f9aedf59-21eb-434a-925d-4a92416f75b5,5b6be56c-d981-470c-a979-13a8764a34b8,nuscale_voygr6,5.371,,True,False,39.58,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 4.64, 'HI': 5.5, 'NH': 6.42, 'NS': 4.59, 'RI': 4.82}, 'unscored_fraction': 0.576}",20260425T140231_ff84d75e,2026-04-25 14:03:24.912084+00:00,4.005,5.929,baseline,Kıvanç power station,TR
e4f75ca9-b72f-4852-b5be-222eff455b53,5ed91c1b-0a1b-4a4c-9b2b-f6bdc8ff9770,nuscale_voygr6,5.278,,True,False,43.75,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 5.5, 'HI': 3.65, 'NH': 5.99, 'NS': 4.99, 'RI': 4.82}, 'unscored_fraction': 0.53}",20260425T140231_ff84d75e,2026-04-25 14:03:24.930159+00:00,4.071,5.835,baseline,Namal power station,TR
ae16e23c-ea7d-4291-a97b-db2694c247f6,2350bab4-9869-43f1-b62f-a4d5aea77ef5,nuscale_voygr6,5.266,,True,False,41.67,low,,"{'notes': ['high_unscored_fraction'], 'categories': {'EP': 3.79, 'HI': 5.5, 'NH': 5.84, 'NS': 5.1, 'RI': 5.13}, 'unscored_fraction': 0.5548}",20260425T140231_ff84d75e,2026-04-25 14:03:24.789354+00:00,4.009,5.825,baseline,Biga power station,TR
de0b6251-6114-4942-8e9f-c3bb1c6ed5fe,28baef4d-44e3-4b2e-bbe3-75f736371553,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.835741+00:00,,,baseline,Enyat Samsun power station,TR
67344f73-e2c9-46db-a48d-5d7c9e78253f,180880c2-7284-4723-b02a-a62348b9b40b,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.465148+00:00,,,baseline,Hodonin power station,CZ
59217b13-1256-4b2d-a419-0aef4bd3d15e,2fe0a0b3-4108-427e-8e54-f77e1ea7227c,nuscale_voygr6,,,False,True,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.473507+00:00,,,baseline,Ledvice power station,CZ
9c386675-332d-45d5-9430-565e07c1e660,32484f7b-18a4-4b21-8e6a-6d68ae099d02,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.495915+00:00,,,baseline,Pocerady power station,CZ
9119b750-bf08-48df-a737-d5d8ea063b34,829f61ff-0ad1-4288-8dd9-e41abbd0b6a7,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.848156+00:00,,,baseline,Gebze Çolakoğlu power station,TR
a041d075-9cfa-4a65-97a0-7d0ddc833c5f,20bce4f5-ca0b-4145-87e5-0a0694343f31,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.497710+00:00,,,baseline,Porici power station,CZ
3a22f5a3-d424-4239-94a5-6d3866783dca,20c9d02d-e9e8-40b3-a11e-7a2e01018d8c,nuscale_voygr6,,,False,False,0.0,low,,"{'notes': ['excluded_by_E_code'], 'categories': {}, 'unscored_fraction': 0.0}",20260425T140231_ff84d75e,2026-04-25 14:03:24.505927+00:00,,,baseline,Sko-Energo power station,CZ
