run_id,site_id,smr_key,scope_country_code,band,top5pct_hit_rate,top10pct_hit_rate,top30pct_hit_rate,scenarios_total,scenarios_scored,created_at,site_name,country_code
p16_20260425T141705_5037b797,f3523341-daaa-4573-a856-becb2e1bb9e3,nuscale_voygr6,CZ,D,0.0,0.0,1.0,14,14,2026-04-25 14:18:55.231875+00:00,Melnik power station,CZ
p16_20260425T141705_5037b797,05daa6b2-bb29-4c26-a459-855626673955,nuscale_voygr6,CZ,D,0.0,0.0,1.0,14,14,2026-04-25 14:18:55.231875+00:00,Opatovice power station,CZ
p16_20260425T141705_5037b797,180880c2-7284-4723-b02a-a62348b9b40b,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231877+00:00,Hodonin power station,CZ
p16_20260425T141705_5037b797,43e5b2b4-2ccf-46ab-b01e-e3d480146455,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231877+00:00,Karvina power station,CZ
p16_20260425T141705_5037b797,f1d2bca1-a7a9-4404-84c1-34fc8a59dab7,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231879+00:00,Kladno power station,CZ
p16_20260425T141705_5037b797,274ec928-e527-44cf-86c5-b6eddc09d0f7,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231877+00:00,Komorany power station,CZ
p16_20260425T141705_5037b797,cbd67443-4a4e-44fd-a9ed-20ba9574c99e,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231879+00:00,Marianske Hory power station,CZ
p16_20260425T141705_5037b797,e299922a-1670-4aff-acda-fd80600af9af,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231879+00:00,Mondi Steti power station,CZ
p16_20260425T141705_5037b797,4eb7914c-e000-403c-b5a5-c350de67bb83,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231878+00:00,Mostecka Power Station,CZ
p16_20260425T141705_5037b797,9c4291f1-173b-467e-ae26-8cb01312c605,nuscale_voygr6,CZ,H,0.0,0.0,0.0714,14,14,2026-04-25 14:18:55.231876+00:00,Plana Nad Luznici power station,CZ
p16_20260425T141705_5037b797,20bce4f5-ca0b-4145-87e5-0a0694343f31,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231877+00:00,Porici power station,CZ
p16_20260425T141705_5037b797,60baaa73-dd8c-4865-bb18-6c73d63a4052,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231878+00:00,Prerov power station,CZ
p16_20260425T141705_5037b797,0ae8917b-a70b-41e5-82de-e4963a7686e3,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231876+00:00,Pribram power station,CZ
p16_20260425T141705_5037b797,b0ba194f-3c80-4725-b1e7-fa5277b38833,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231879+00:00,Prunerov power station,CZ
p16_20260425T141705_5037b797,14e88076-ce0e-4693-bca4-e80f3f013c7f,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231876+00:00,Tisova power station,CZ
p16_20260425T141705_5037b797,63601ccc-3f20-4cbd-95cb-0fbeaf821c6a,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231878+00:00,Trinec-E3 power station,CZ
p16_20260425T141705_5037b797,287cbb48-bb08-40dd-82c5-cfe1530dfbb9,nuscale_voygr6,CZ,H,0.0,0.0,0.0714,14,14,2026-04-25 14:18:55.231876+00:00,Tusimice power station,CZ
p16_20260425T141705_5037b797,5f4ed23c-cea2-41ef-a3e8-ac863e1bdcd6,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231878+00:00,Vresova TPS power station,CZ
p16_20260425T141705_5037b797,aa38441d-aec7-4ae9-b4c3-68c5bf567db3,nuscale_voygr6,CZ,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.231879+00:00,Zlin power station,CZ
p16_20260425T141705_5037b797,ab151830-e5bd-46de-8400-01aa4c165366,nuscale_voygr6,HR,A,1.0,1.0,1.0,14,14,2026-04-25 14:18:55.236108+00:00,Plomin power station,HR
p16_20260425T141705_5037b797,997474f6-9bfd-4abd-a2ac-d8618db8f0b4,nuscale_voygr6,HU,A,1.0,1.0,1.0,14,14,2026-04-25 14:18:55.244035+00:00,Mohacs power station,HU
p16_20260425T141705_5037b797,f7dcdb63-26e6-44cd-b440-ec14fe507d90,nuscale_voygr6,HU,D,0.0,0.0,1.0,14,14,2026-04-25 14:18:55.244036+00:00,Borsod power station,HU
p16_20260425T141705_5037b797,5de5f907-98e7-42d3-a7dd-cb65f839697b,nuscale_voygr6,HU,D,0.0,0.0,1.0,14,14,2026-04-25 14:18:55.244036+00:00,Tiszapalkonya power station,HU
p16_20260425T141705_5037b797,ef325d90-6d2d-4f8f-89f2-3bc98beb149b,nuscale_voygr6,HU,H,0.0,0.0,0.0,14,14,2026-04-25 14:18:55.244038+00:00,Bakony power station,HU
