run_id,site_id,smr_key,country_code,bucket,n_hard,n_floor,n_distinct_failures,hard_criteria,floor_criteria,created_at,site_name,country_code
fail_20260425b_ff84d75e,67e5a20f-e3ab-4c18-9864-cf4591d6e15f,nuscale_voygr6,BA,both,2,3,4,"['NH-02', 'NH-05']","['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.512923+00:00,Bugojno Thermal Power Project,BA
fail_20260425b_ff84d75e,85257083-08d1-4560-b198-a9df414da4a9,nuscale_voygr6,BA,both,1,4,4,['NH-05'],"['EP-01', 'NH-02', 'NH-04', 'NH-05']",2026-04-25 14:20:46.512923+00:00,Gacko Thermal Power Plant,BA
fail_20260425b_ff84d75e,e2d645e3-c829-4aac-8f6f-d6a5507fd5fa,nuscale_voygr6,BA,both,2,3,4,"['NH-02', 'NH-05']","['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.512924+00:00,Glinica power station,BA
fail_20260425b_ff84d75e,e671be33-8b91-40bd-b563-b833293654aa,nuscale_voygr6,BA,both,2,3,4,"['NH-02', 'NH-05']","['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.512924+00:00,Kakanj Thermal Power Plant,BA
fail_20260425b_ff84d75e,344e0e9a-558e-4749-bb66-cd746be50cbd,nuscale_voygr6,BA,both,1,2,2,['NH-05'],"['EP-01', 'NH-05']",2026-04-25 14:20:46.512922+00:00,Kamengrad Thermal Power Plant,BA
fail_20260425b_ff84d75e,0155b913-765f-4d44-89f5-c176b6867cef,nuscale_voygr6,BA,both,1,2,3,['NH-02'],"['NH-04', 'NH-05']",2026-04-25 14:20:46.512921+00:00,Kongora Thermal Power Plant,BA
fail_20260425b_ff84d75e,aa0bdb5e-45aa-4d15-8aee-cb5b0e14f5d9,nuscale_voygr6,BA,both,1,3,3,['NH-05'],"['NH-02', 'NH-04', 'NH-05']",2026-04-25 14:20:46.512924+00:00,Miljevina power station,BA
fail_20260425b_ff84d75e,e75c63e5-ef2f-4e08-8f8c-3da41215af9d,nuscale_voygr6,BA,both,1,2,2,['NH-05'],"['NH-04', 'NH-05']",2026-04-25 14:20:46.512924+00:00,Stanari Thermal Power Plant,BA
fail_20260425b_ff84d75e,0fb50bcc-5616-40d8-9109-8136a958f18d,nuscale_voygr6,BA,both,2,3,4,"['NH-02', 'NH-05']","['EP-01', 'NH-04', 'NH-05']",2026-04-25 14:20:46.512922+00:00,Tuzla Thermal Power Plant,BA
fail_20260425b_ff84d75e,a23d073a-cbbd-469a-b134-380945fd3f4c,nuscale_voygr6,BA,both,1,2,2,['NH-05'],"['NH-04', 'NH-05']",2026-04-25 14:20:46.512923+00:00,Ugljevik power station,BA
