site_id,name,country_code,country_name,latitude,longitude,plant_type,status,region,elevation_m,installed_capacity_mw,site_area_ha
85c56b15-450b-4bb1-b75e-5ea00ee51cb2,Varna power station,BG,Bulgaria,43.19477,27.765472,coal,retired,Europe,6.12,1260.0,12.26
a064c7ae-e699-4a94-a18c-79bdfe42bce3,Vidin Works power station,BG,Bulgaria,43.948363,22.850904,coal,mothballed,Europe,36.92,120.0,156.34
68aabff9-e662-4b9f-b37d-4c2ebc5f7539,Lelchitsy power station,BY,Belarus,51.789444,28.321389,lignite,cancelled,Europe,140.99,400.0,11.01
fac3d0b5-36a5-48ae-8494-f2f08e4342f4,Zelwa power station,BY,Belarus,53.15,24.8167,coal,cancelled,Europe,141.06,1000.0,6.18
d762ceeb-514f-43a6-9f91-a2d422ed6c60,Chvaletice power station,CZ,Czech Republic,50.028062,15.450504,lignite,operating,Europe,211.16,820.0,93.87
a733fc13-11a4-4722-b62d-85c85a4f8ef3,Detmarovice power station,CZ,Czech Republic,49.907184,18.464559,coal,retired,Europe,211.67,800.0,63.92
180880c2-7284-4723-b02a-a62348b9b40b,Hodonin power station,CZ,Czech Republic,48.847759,17.120129,lignite,operating,Europe,170.21,107.0,24.5
43e5b2b4-2ccf-46ab-b01e-e3d480146455,Karvina power station,CZ,Czech Republic,49.823463,18.480287,coal,operating,Europe,260.63,125.0,81.16
f1d2bca1-a7a9-4404-84c1-34fc8a59dab7,Kladno power station,CZ,Czech Republic,50.1535,14.12858,lignite,operating,Europe,331.61,405.6,12.73
274ec928-e527-44cf-86c5-b6eddc09d0f7,Komorany power station,CZ,Czech Republic,50.522288,13.572102,lignite,operating,Europe,249.66,197.0,39.28
2fe0a0b3-4108-427e-8e54-f77e1ea7227c,Ledvice power station,CZ,Czech Republic,50.57658,13.779761,lignite,operating,Europe,202.64,990.0,116.76
1c059a42-608c-4753-8fcf-ba797d94f900,Malesice power station,CZ,Czech Republic,50.084967,14.525273,coal,operating,Europe,237.28,110.0,189.19
cbd67443-4a4e-44fd-a9ed-20ba9574c99e,Marianske Hory power station,CZ,Czech Republic,49.86,18.27,coal,retired,Europe,206.58,30.0,49.32
f3523341-daaa-4573-a856-becb2e1bb9e3,Melnik power station,CZ,Czech Republic,50.413132,14.41582,lignite,operating,Europe,165.14,1070.0,123.68
e299922a-1670-4aff-acda-fd80600af9af,Mondi Steti power station,CZ,Czech Republic,50.460918,14.375854,lignite,operating,Europe,162.54,94.0,180.77
4eb7914c-e000-403c-b5a5-c350de67bb83,Mostecka Power Station,CZ,Czech Republic,50.503,13.63617,coal,cancelled,Europe,279.85,1200.0,6.65
