run_id,criterion_id,direction,n_pairs_affected,mean_abs_score_delta,mean_abs_rank_change,survivors_added,survivors_removed,created_at
p16_20260425T141705_5037b797,NH-09,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487478+00:00
p16_20260425T141705_5037b797,NH-10,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487493+00:00
p16_20260425T141705_5037b797,NH-10,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487478+00:00
p16_20260425T141705_5037b797,NH-11,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487493+00:00
p16_20260425T141705_5037b797,NH-11,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487478+00:00
p16_20260425T141705_5037b797,NH-12,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487494+00:00
p16_20260425T141705_5037b797,NH-12,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487479+00:00
p16_20260425T141705_5037b797,NH-13,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487494+00:00
p16_20260425T141705_5037b797,NH-13,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487479+00:00
p16_20260425T141705_5037b797,NH-14,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487494+00:00
p16_20260425T141705_5037b797,NH-14,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487480+00:00
p16_20260425T141705_5037b797,NS-01,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487494+00:00
p16_20260425T141705_5037b797,NS-01,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487480+00:00
p16_20260425T141705_5037b797,NS-02,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487495+00:00
p16_20260425T141705_5037b797,NS-02,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487480+00:00
p16_20260425T141705_5037b797,NS-03,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487495+00:00
p16_20260425T141705_5037b797,NS-03,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487480+00:00
p16_20260425T141705_5037b797,NS-04,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487495+00:00
p16_20260425T141705_5037b797,NS-04,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487481+00:00
p16_20260425T141705_5037b797,NS-05,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487495+00:00
p16_20260425T141705_5037b797,NS-05,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487481+00:00
p16_20260425T141705_5037b797,NS-06,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487496+00:00
p16_20260425T141705_5037b797,NS-06,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487481+00:00
p16_20260425T141705_5037b797,NS-07,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487496+00:00
p16_20260425T141705_5037b797,NS-07,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487482+00:00
p16_20260425T141705_5037b797,NS-08,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487496+00:00
p16_20260425T141705_5037b797,NS-08,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487482+00:00
p16_20260425T141705_5037b797,NS-09,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487497+00:00
p16_20260425T141705_5037b797,NS-09,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487482+00:00
p16_20260425T141705_5037b797,NS-10,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487497+00:00
p16_20260425T141705_5037b797,NS-10,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487483+00:00
p16_20260425T141705_5037b797,NS-11,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487497+00:00
p16_20260425T141705_5037b797,NS-11,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487483+00:00
p16_20260425T141705_5037b797,NS-12,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487497+00:00
p16_20260425T141705_5037b797,NS-12,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487483+00:00
p16_20260425T141705_5037b797,NS-13,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487498+00:00
p16_20260425T141705_5037b797,NS-13,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487484+00:00
p16_20260425T141705_5037b797,RI-01,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487498+00:00
p16_20260425T141705_5037b797,RI-01,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487484+00:00
p16_20260425T141705_5037b797,RI-02,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487498+00:00
p16_20260425T141705_5037b797,RI-02,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487484+00:00
p16_20260425T141705_5037b797,RI-03,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487498+00:00
p16_20260425T141705_5037b797,RI-03,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487484+00:00
p16_20260425T141705_5037b797,RI-04,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487499+00:00
p16_20260425T141705_5037b797,RI-04,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487485+00:00
p16_20260425T141705_5037b797,RI-05,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487499+00:00
p16_20260425T141705_5037b797,RI-05,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487485+00:00
p16_20260425T141705_5037b797,RI-06,plus_25,208,0.0095,,1288,0,2026-04-25 14:18:49.487499+00:00
p16_20260425T141705_5037b797,RI-06,minus_25,208,0.0448,,1288,0,2026-04-25 14:18:49.487485+00:00
