run_id,site_id,smr_key,weight_profile,criterion_id,score_0_10,weight_normalised,weighted_contribution,category,created_at,site_name,country_code
20260425T140231_ff84d75e,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,baseline,NS-04,5.5,0.0212,0.1166,NS,2026-04-25 14:03:25.097713+00:00,Dolna Odra power station,PL
20260425T140231_ff84d75e,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,baseline,NS-05,9.5,0.0177,0.1678,NS,2026-04-25 14:03:25.097714+00:00,Dolna Odra power station,PL
20260425T140231_ff84d75e,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,baseline,NS-08,7.5,0.0212,0.159,NS,2026-04-25 14:03:25.097714+00:00,Dolna Odra power station,PL
20260425T140231_ff84d75e,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,baseline,RI-01,5.0,0.0212,0.106,RI,2026-04-25 14:03:25.097714+00:00,Dolna Odra power station,PL
20260425T140231_ff84d75e,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,baseline,RI-04,5.5,0.0283,0.1555,RI,2026-04-25 14:03:25.097714+00:00,Dolna Odra power station,PL
20260425T140231_ff84d75e,558e7bff-5b5d-4666-9ca3-ec02f2269aab,nuscale_voygr6,baseline,RI-06,5.5,0.0177,0.0972,RI,2026-04-25 14:03:25.097714+00:00,Dolna Odra power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,EP-01,5.5,0.0283,0.1555,EP,2026-04-25 14:03:25.097749+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,EP-02,5.5,0.0212,0.1166,EP,2026-04-25 14:03:25.097749+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,HI-01,3.5,0.0247,0.0866,HI,2026-04-25 14:03:25.097749+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,HI-03,7.5,0.0247,0.1855,HI,2026-04-25 14:03:25.097749+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,HI-06,5.5,0.0212,0.1166,HI,2026-04-25 14:03:25.097750+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-01,9.5,0.0318,0.3021,NH,2026-04-25 14:03:25.097750+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-02,7.5,0.0318,0.2385,NH,2026-04-25 14:03:25.097750+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-04,5.5,0.0177,0.0972,NH,2026-04-25 14:03:25.097750+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-05,9.5,0.0247,0.235,NH,2026-04-25 14:03:25.097751+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-06,5.5,0.0177,0.0972,NH,2026-04-25 14:03:25.097751+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-10,9.5,0.0106,0.1007,NH,2026-04-25 14:03:25.097751+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-11,4.0,0.0106,0.0424,NH,2026-04-25 14:03:25.097751+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NH-12,9.5,0.0141,0.1343,NH,2026-04-25 14:03:25.097751+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NS-01,6.0,0.0283,0.1696,NS,2026-04-25 14:03:25.097752+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NS-02,5.0,0.0283,0.1413,NS,2026-04-25 14:03:25.097752+00:00,Opalenie power station,PL
20260425T140231_ff84d75e,52db4dae-b014-45a4-96c4-49f80c1fdd11,nuscale_voygr6,baseline,NS-03,8.0,0.0283,0.2261,NS,2026-04-25 14:03:25.097752+00:00,Opalenie power station,PL
