national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Bitola power station,True,False,5.525,4.101,5.939,A,1.0,40.0,low,699.0,41.05832,21.484266
2,Negotino power station,True,False,4.899,3.828,5.313,H,0.0,40.0,low,300.0,41.483333,22.1
3,Oslomej power station,True,False,4.515,3.661,4.929,H,0.0,40.0,low,254.5,41.582133,21.000288
,Mariovo power station,False,False,,,,H,0.0,0.0,low,300.0,41.122815,21.805115
