national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
87,Yenidere power station,True,False,4.78,3.714,5.187,H,0.0,37.5,low,200.0,37.458403,28.674831
88,DETES 1 power station,True,False,4.776,3.665,5.176,H,0.0,35.0,low,160.0,41.498,31.868
89,Ağan power station,True,False,4.758,3.705,5.165,H,0.0,37.5,low,1580.0,40.449823,27.304356
90,Çebi Enerji power station,True,False,4.747,3.7,5.209,F,0.0,37.5,low,700.0,41.013446,27.961648
91,Tosyalı İskenderun power station,True,False,4.692,3.678,5.099,H,0.0,37.5,low,1200.0,36.6971,36.2042
92,Bingöl power station,True,False,4.654,3.663,5.011,H,0.0,37.5,low,150.0,39.31575,40.889156
93,Meda power station,True,False,4.637,3.656,5.099,H,0.0,37.5,low,770.0,40.972709,27.876831
94,Mert power station,True,False,4.637,3.656,5.099,H,0.0,37.5,low,1200.0,36.953333,36.203333
95,Namal power station,True,False,4.599,3.606,5.0,H,0.0,35.0,low,1000.0,40.343889,26.683611
96,Yeniyurt power station,True,False,4.582,3.634,4.989,H,0.0,37.5,low,300.0,36.886,36.151
97,Selena power station,True,False,4.543,3.632,5.011,H,0.0,40.0,low,900.0,36.921472,36.04753
98,Atakaş power station,True,False,4.538,3.63,4.946,H,0.0,40.0,low,660.0,36.6971,36.2042
99,Burnaz power station,True,False,4.516,3.608,5.011,H,0.0,37.5,low,300.0,36.491859,36.192092
100,Gebze Çolakoğlu power station,True,False,4.468,3.601,4.817,H,0.0,40.0,low,190.0,40.77758,29.538564
101,Şırnak Silopi (CİNER) power station,True,False,4.418,3.568,4.791,H,0.0,37.5,low,405.0,37.310025,42.594696
102,Lüminer Enerji power station,True,False,4.317,3.54,4.86,H,0.0,40.0,low,160.0,40.892,26.901
103,Irmak power station,True,False,4.291,3.518,4.835,H,0.0,37.5,low,1320.0,39.79,26.3325
104,Güney Akdeniz power station,True,False,4.269,3.509,4.813,H,0.0,37.5,low,1320.0,36.416667,35.883333
105,Atlas Enerji İskenderun power station,True,False,4.038,3.416,4.418,H,0.0,37.5,low,1200.0,36.69028,36.20909
106,Evrese power station,True,False,4.005,3.403,4.418,H,0.0,37.5,low,135.0,40.416667,26.666667
,Adana Akdeniz power station,False,False,,,,H,0.0,0.0,low,600.0,36.8178,35.86216
,Aksa Akrilik power station,False,False,,,,,,0.0,low,100.0,40.691129,29.405596
,Aliağa Enka power station,False,False,,,,,,0.0,low,800.0,38.746,26.912
,Avdan power station,False,False,,,,H,0.0,0.0,low,300.0,37.750237,29.094284
,Bandırma Elektrik power station,False,False,,,,,,0.0,low,1600.0,40.30593,27.7272
,Bandırma Karat power station,False,False,,,,H,0.0,0.0,low,1200.0,40.357,27.975
,Çan (18 Mart) power station,False,False,,,,,,0.0,low,320.0,40.02324,26.976837
,Çerkezköy power station,False,False,,,,,,0.0,low,990.0,41.283333,28.0
,Çırpılar power station,False,False,,,,,,0.0,low,200.0,39.816777,27.339752
,Demirtaş power station,False,False,,,,G,0.0,0.0,low,119.0,36.780693,35.735779
,Deniz power station,False,False,,,,,,0.0,low,1320.0,38.746,26.912
,Dinar power station,False,False,,,,,,0.0,low,500.0,38.064,30.167
,DOSAB cogeneration plant,False,False,,,,H,0.0,0.0,low,50.0,40.243172,28.96442
,Ece power station,False,False,,,,F,0.0,0.0,low,600.0,36.780693,35.735779
,Enyat Samsun power station,False,False,,,,,,0.0,low,150.0,40.97,35.67
,Eti Maden Bandirma power station,False,False,,,,H,0.0,0.0,low,46.7,40.328921,27.990415
,Gönen power station,False,False,,,,,,0.0,low,300.0,40.1,27.65
,Güneybatı Anadolu power station,False,False,,,,,,0.0,low,660.0,37.31,27.78
,Habaş power station,False,False,,,,,,0.0,low,600.0,38.77273,26.94599
,Hakan Enerji power station,False,False,,,,D,0.0,0.0,low,100.0,36.84343,35.886929
,Hakan Kömür power station,False,False,,,,,,0.0,low,100.0,37.0333,35.8167
,Hande power station,False,False,,,,F,0.0,0.0,low,600.0,36.780693,35.735779
,Helvacı power station,False,False,,,,,,0.0,low,270.0,40.08,27.168
,Ilgın power station,False,False,,,,,,0.0,low,500.0,38.26,31.91
,İskenderun power station,False,False,,,,,,0.0,low,2000.0,36.587,36.173
,İzdemir Enerji power station,False,False,,,,,,0.0,low,720.0,38.74173,26.92917
,Kemerköy power station,False,False,,,,,,0.0,low,630.0,37.035362,27.900592
,Kilikya power station,False,False,,,,H,0.0,0.0,low,660.0,36.82786,35.87151
,Kipas MMP power station,False,False,,,,,,0.0,low,55.0,37.767197,27.445695
,Kınık power station,False,False,,,,,,0.0,low,700.0,39.084,27.45
,Orhaneli power station,False,False,,,,,,0.0,low,210.0,39.950224,28.870214
,Petkim power station,False,False,,,,,,0.0,low,205.0,38.795,26.970278
,Sanko Gölbaşı power station,False,False,,,,,,0.0,low,150.0,37.819719,37.718512
,Sanko Yumurtalık power station,False,False,,,,D,0.0,0.0,low,1600.0,36.876,35.894
,Silopi (Şırnak) power station,False,False,,,,,,0.0,low,135.0,37.352619,42.552728
,Soma power station,False,False,,,,,,0.0,low,990.0,39.194462,27.635204
,Star Refinery Socar power station,False,False,,,,,,0.0,low,672.0,38.817,26.9103
,Tekirdağ Malkara power station,False,False,,,,,,0.0,low,1000.0,40.638726,27.004295
,Yatağan power station,False,False,,,,,,0.0,low,630.0,37.330905,28.102377
,Zorlu Soma power station,False,False,,,,,,0.0,low,1220.0,39.186,27.608
